v_hid_id,v_out_id,theta
2,5,-2.086873e+00
3,5,-2.330655e+00
4,5,-1.389004e+00
5,5,-1.255713e-01
6,5,2.597359e+00
7,5,5.533133e-01
8,5,-3.185448e+00
9,5,1.216041e+00
10,5,9.271756e-01
11,5,-5.017209e-01
12,5,2.304421e-01
13,5,-1.421628e+00
14,5,-1.846439e+00
15,5,1.833970e+00
16,5,1.446162e+00
17,5,1.199336e+00
18,5,-3.915632e+00
19,5,-1.469469e+00
20,5,-1.826216e+00
21,5,-1.284864e+00
22,5,-7.183072e-01
23,5,4.221820e-01
24,5,1.276545e+00
25,5,-9.512163e-01
26,6,-1.643609e+00
1,6,-9.712249e-01
2,6,7.034811e-01
3,6,-2.297451e+00
4,6,1.790748e+00
5,6,1.269603e-01
6,6,-3.118291e-01
7,6,-8.940775e-01
8,6,2.546151e+00
9,6,-1.778850e+00
10,6,-1.016496e+00
11,6,-2.113514e+00
12,6,-2.957246e+00
13,6,-1.380398e+00
14,6,6.540208e-01
15,6,4.704842e-01
16,6,2.637755e+00
17,6,-2.582207e+00
18,6,-3.174304e+00
19,6,3.612793e-01
20,6,4.278751e-02
21,6,-1.186566e+00
22,6,2.662082e-01
23,6,1.473032e+00
24,6,-3.176385e-01
25,6,-7.263164e-01
26,7,-6.118336e-01
1,7,1.101746e+00
2,7,-3.555234e+00
3,7,1.743729e+00
4,7,-9.518512e-02
5,7,-1.287274e+00
6,7,1.113998e+00
7,7,-9.465179e-01
8,7,2.007446e+00
9,7,-1.932120e+00
10,7,5.020078e-01
11,7,1.337723e+00
12,7,6.637275e-01
13,7,-1.055538e+00
14,7,-1.439074e+00
15,7,-9.132464e-01
16,7,-1.508706e+00
17,7,1.608170e-01
18,7,6.060757e-01
19,7,4.801923e-01
20,7,-1.235971e+00
21,7,-1.055282e+00
22,7,8.609447e-03
23,7,-1.035000e+00
24,7,-4.151737e+00
25,7,-8.206531e-01
26,8,-1.187189e+00
1,8,1.254258e-01
2,8,2.832509e-01
3,8,-1.389549e+00
4,8,-2.891936e+00
5,8,-1.424660e+00
6,8,-2.712219e+00
7,8,-1.366747e+00
8,8,-2.379709e+00
9,8,1.841590e+00
10,8,-1.655813e+00
11,8,-2.167652e+00
12,8,-2.091446e+00
13,8,2.026776e+00
14,8,-2.239768e+00
15,8,-1.739251e+00
16,8,1.272016e+00
17,8,-1.786762e+00
18,8,1.047080e+00
19,8,1.434280e+00
20,8,-2.335337e+00
21,8,-2.529062e+00
22,8,7.316087e-01
23,8,-1.519883e+00
24,8,1.125321e+00
25,8,7.965657e-01
26,9,-1.199245e+00
1,9,4.700562e-01
2,9,6.833158e-01
3,9,3.751009e-01
4,9,-5.682577e-01
5,9,-3.103330e+00
6,9,-2.522401e+00
7,9,-9.335200e-01
8,9,2.096982e+00
9,9,-3.188826e-01
10,9,-1.690082e+00
11,9,-6.300106e-01
12,9,1.205533e+00
13,9,-7.920424e-01
14,9,9.048228e-02
15,9,-1.820553e+00
16,9,1.789418e+00
17,9,-1.050096e+00
18,9,-2.304616e-01
19,9,-2.771909e+00
20,9,2.892720e+00
21,9,-1.473771e+00
22,9,-3.455911e+00
23,9,-1.347540e+00
24,9,1.706837e-01
25,9,6.505733e-01
26,10,-1.095023e+00
1,10,-3.908521e+00
2,10,3.154214e-02
3,10,-1.104031e+00
4,10,-8.981749e-01
5,10,-1.678190e+00
6,10,3.164652e-01
7,10,9.818788e-01
8,10,-7.963641e-01
9,10,-7.749586e-01
10,10,-1.269922e+00
11,10,1.746037e+00
12,10,9.408071e-01
13,10,1.336672e+00
14,10,7.082703e-01
15,10,-8.795542e-01
16,10,-1.652230e+00
17,10,-4.569360e-01
18,10,-1.877313e+00
19,10,1.243642e+00
20,10,-1.575427e+00
21,10,4.311546e-01
22,10,-2.944776e+00
23,10,1.319090e+00
24,10,-3.375159e-02
25,10,-2.063827e+00
