FACID,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,LICENSE_NUMBER,BUSINESS_NAME,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,STREETNUM,STREETNAME,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR
010000033,GOLDEN LIVING CENTER- SANTA ROSA,SNF,SKILLED NURSING FACILITY,LTC,99,4650 HOEN AVE,SANTA ROSA,95405,9407,"CUNLIFFE, JOSEPH",KRISTA.ELMORE@GOLDENLIVING.COM,(707) 546-0613,(707) 546-0471,590,SONOMA,11,SANTA ROSA,Y,010000029,"BEVERLY HEALTH AND REHABILITATION SERVICES, INC.",03NOV1967,01JUN2018,31MAY2019,PROFIT CORP,38.44103,-122.665291,"(-122.665291,38.44103)",206491000,4650,HOEN AVE,49,SONOMA,	097,,,
010000034,GOLDEN LIVING CENTER - LONDON HOUSE SONOMA,SNF,SKILLED NURSING FACILITY,LTC,83,678 2ND ST W,SONOMA,95476,6901,"REDDY, TARRYN",LEGALDEPT@GOLDENLIVING.COM,(707) 938-1643,(707) 938-1096,590,SONOMA,11,SANTA ROSA,Y,010000030,"BEVERLY HEALTH AND REHABILITATION SERVICES, INC.",22SEP1964,01JUN2018,31MAY2019,PROFIT CORP,38.28906,-122.461151,"(-122.461151,38.28906)",206491001,678,2ND ST W,49,SONOMA,	097,,,
010000037,CLOVERDALE HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,72,300 CHERRY CREEK RD,CLOVERDALE,95425,3811,"BUSH, CASON",AWILLITS@ENSIGNGROUP.NET,(707) 894-5201,(707) 894-5201,590,SONOMA,11,SANTA ROSA,Y,010000157,ENSIGN CLOVERDALE LLC,01JUN1967,16MAY2018,15MAY2019,LIMITED LIABILITY COMPANY,38.79665,-123.024651,"(-123.024651,38.79665)",206491003,300,CHERRY CREEK RD,49,SONOMA,	097,,,
010000043,PARK VIEW POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,116,3751 MONTGOMERY DR,SANTA ROSA,95405,5214,"THATCHER, BRENT S",BTHATCHER@ENSIGNSERVICES.NET,(707) 525-1080,(707) 525-1250,590,SONOMA,11,SANTA ROSA,Y,010000062,"ENSIGN MONTGOMERY, LLC",01FEB1986,01JAN2018,31DEC2018,LIMITED LIABILITY COMPANY,38.45335,-122.676121,"(-122.676121,38.45335)",206491058,3751,MONTGOMERY DR,49,SONOMA,	097,,,
010000047,NORTHBROOK HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,70,64 NORTHBROOK WAY,WILLITS,95490,3019,"GAMBLE, SHAWNDEE L",SGAMBLE@ENSIGNSERVICES.NET,(707) 459-4727,(707) 459-5592,330,MENDOCINO,11,SANTA ROSA,Y,010000049,ENSIGN WILLITS LLC,18MAY1970,07SEP2018,15MAY2019,LIMITED LIABILITY COMPANY,39.41575,-123.360951,"(-123.360951,39.41575)",206231024,64,NORTHBROOK WAY,23,MENDOCINO,	045,,,
010000051,"PACIFIC REHABILITATION & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,60,2211 HARRISON AVE,EUREKA,95501,3214,"L'ALLIER, SAMANTHA",ADMINISTRATOR@PACIFICREHABWC.COM,(707) 441-8447,(707) 443-9767,110,HUMBOLDT,11,SANTA ROSA,Y,010000051,"PACIFIC REHABILITATION & WELLNESS CENTER, LP",05OCT1966,01NOV2018,31OCT2019,PARTNERSHIP,40.78751,-124.139051,"(-124.139051,40.78751)",206121030,2211,HARRISON AVE,12,HUMBOLDT,	023,,,
010000052,PETALUMA POST-ACUTE REHABILITATION,SNF,SKILLED NURSING FACILITY,LTC,90,1115 B ST,PETALUMA,94952,4028,"NOE, NATHAN",,(707) 765-6416,(707) 765-3030,590,SONOMA,11,SANTA ROSA,Y,010000056,"PETALUMA C.C., INC. DBA PETALUMA POST-ACUTE REHAB.",11APR1969,26MAR2018,25MAR2019,PROFIT CORP,38.22222,-122.645251,"(-122.645251,38.22222)",206491035,1115,B ST,49,SONOMA,	097,,,
010000059,SANTA ROSA CONVALESCENT HOSPITAL,SNF,SKILLED NURSING FACILITY,LTC,62,446 ARROWOOD DR,SANTA ROSA,95407,7503,"BENSON, FREDERICK",SRCH@SONIC.NET,(707) 568-1209,(707) 528-2100,590,SONOMA,11,SANTA ROSA,Y,010000064,"ASHLEY L.T.C., INC.",10JUN1966,01NOV2017,31OCT2018,PROFIT CORP,38.42121,-122.718711,"(-122.718711,38.42121)",206491062,446,ARROWOOD DR,49,SONOMA,	097,,,
010000060,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,99,6400 PURDUE DR,EUREKA,95503,7095,"COLLIER, JASON",ADMINISTRATOR@SEAVIEWREHABWC.COM,(707) 441-8448,(707) 443-5668,110,HUMBOLDT,11,SANTA ROSA,Y,010000066,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",05FEB1963,01NOV2018,31OCT2019,PARTNERSHIP,40.7309,-124.204661,"(-124.204661,40.7309)",206121065,6400,PURDUE DR,12,HUMBOLDT,	023,,,
010000062,SHERWOOD OAKS HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,79,130 DANA ST,FORT BRAGG,95437,4506,"MALONEY, JR., WILLARD  A",SOHC@MCN.ORG,(707) 964-1596,(707) 964-6333,330,MENDOCINO,11,SANTA ROSA,Y,010000036,"SHERWOOD OAKS ENTERPRISE, INC.",01DEC1980,01DEC2017,30NOV2018,PROFIT CORP,39.44117,-123.787921,"(-123.787921,39.44117)",206231007,130,DANA ST,23,MENDOCINO,	045,,,
010000066,BROADWAY VILLA POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,144,1250 BROADWAY,SONOMA,95476,7500,"BUNUAN, DOUG",DBUNUAN@ENSIGNGROUP.NET,(707) 938-4400,(707) 938-8406,590,SONOMA,11,SANTA ROSA,Y,010000158,ENSIGN SONOMA LLC,25SEP1968,16MAY2018,15MAY2019,LIMITED LIABILITY COMPANY,38.27839,-122.458411,"(-122.458411,38.27839)",206491017,1250,BROADWAY,49,SONOMA,	097,,,
010000075,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,104,2321 NEWBURG RD,FORTUNA,95540,2815,"L'ALLIER, SAMANTHA",CLYMAN@ROCKPORTHC.COM,(707) 725-1848,(707) 725-4467,110,HUMBOLDT,11,SANTA ROSA,Y,010000076,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",04DEC1972,01NOV2018,31OCT2019,PARTNERSHIP,40.59053,-124.142301,"(-124.142301,40.59053)",206121081,2321,NEWBURG RD,12,HUMBOLDT,	023,,,
010000076,SUMMERFIELD HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,70,1280 SUMMERFIELD RD,SANTA ROSA,95405,7313,"BUSH, CASON",AMARSH@ENSIGNGROUP.NET,(707) 539-0630,(707) 539-1515,590,SONOMA,11,SANTA ROSA,Y,010000078,ENSIGN SANTA ROSA LLC,08JUN1967,31JAN2018,30JAN2019,LIMITED LIABILITY COMPANY,38.44556,-122.663941,"(-122.663941,38.44556)",206491085,1280,SUMMERFIELD RD,49,SONOMA,	097,,,
010000078,"EUREKA REHAB & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,99,2353 23RD ST,EUREKA,95501,3201,"WEBB, DANA A",ADMINISTRATOR@EUREKAREHABWC.COM,(707) 441-8449,(707) 445-3261,110,HUMBOLDT,11,SANTA ROSA,Y,010000054,"EUREKA REHABILITATION & WELLNESS CENTER, LP",01JUN1980,01NOV2018,31OCT2019,PARTNERSHIP,40.786898,-124.141562,"(-124.141562,40.786898)",206121033,2353,23RD ST,12,HUMBOLDT,	023,,,
010000079,THE OAKS POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,59,450 HAYES LN,PETALUMA,94952,4010,"MOORE, BRETT",BMOORE@WESTHARBORHC.COM,(707) 778-6111,(707) 778-8686,590,SONOMA,11,SANTA ROSA,Y,010000053,TRESTLES HOLDINGS LLC,27JUN1980,10NOV2017,09NOV2018,LIMITED LIABILITY COMPANY,38.22254,-122.648911,"(-122.648911,38.22254)",206491032,450,HAYES LN,49,SONOMA,	097,,,
010000080,UKIAH POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,54,1349 S DORA ST,UKIAH,95482,6512,"GAMBLE, SHAWNDEE",SGAMBLE@ENSIGNGROUP.NET,(707) 462-0718,(707) 462-8864,330,MENDOCINO,11,SANTA ROSA,Y,010000159,ENSIGN PLEASANTON LLC,10OCT1986,01FEB2018,31JAN2019,LIMITED LIABILITY COMPANY,39.13023,-123.208201,"(-123.208201,39.13023)",206231091,1349,S DORA ST,23,MENDOCINO,	045,,,
010000082,REDWOOD COVE HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,68,1162 S DORA ST,UKIAH,95482,6340,"HART, KEVIN",KEHART@PLUM.COM,(707)462-1247,(707) 462-1436,330,MENDOCINO,11,SANTA ROSA,Y,010000080,"NIGHTSHADE HOLDINGS, LLC",31OCT1967,07DEC2017,06DEC2018,LIMITED LIABILITY COMPANY,39.13512,-123.210761,"(-123.210761,39.13512)",206230938,1162,S DORA ST,23,MENDOCINO,	045,,,
010000086,BAYBERRY HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,400 AGUIRRE WAY,NAPA,94559,3551,"JACKSON, LAUREN",LJACKSON@BAYBERRY.BIZ,(707) 252-6891,(707) 252-6845,380,NAPA,11,SANTA ROSA,Y,010000112,"BAYBERRY, INC.",01JUN1983,01JUN2017,31MAY2018,NONPROFIT CORP,38.29588,-122.271161,"(-122.271161,38.29588)",,400,AGUIRRE WAY,28,NAPA,	055,,,
010000087,BUTLER VALLEY,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,380 12TH ST,ARCATA,95521,5914,"OTT, SUZETTE  M",BVADMIN@HUMBOLDT1.COM,(707) 445-1887,(707) 822-0301,110,HUMBOLDT,11,SANTA ROSA,Y,010000138,BUTLER VALLEY INC.,14SEP1983,14NOV2017,13NOV2018,NONPROFIT CORP,40.87072,-124.081371,"(-124.081371,40.87072)",,380,12TH ST,12,HUMBOLDT,	023,,,
010000088,BUTLER VALLEY #2,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,3971 F ST,EUREKA,95503,6003,"OTT, SUZETTE  M",BVADMIN@HUMBOLDT1.COM,(707) 445-1887,(707) 442-7313,110,HUMBOLDT,11,SANTA ROSA,Y,010000137,BUTLER VALLEY INC.,01NOV1985,01DEC2016,30NOV2017,NONPROFIT CORP,40.77003,-124.163321,"(-124.163321,40.77003)",,3971,F ST,12,HUMBOLDT,	023,,,
010000089,"NEW HAVEN - ICF-DD -H, INCORPORATED",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,100 SAWYER ST,VALLEJO,94589,2039,"PADILLA, LEONILA R",WEREBOJUS2003@YAHOO.COM,(707) 648-1549,(707) 563-5875,580,SOLANO,11,SANTA ROSA,Y,010000133,"NEW HAVEN ICF-DD-H, INCORPORATED",05JUN1985,22APR2018,21APR2019,PROFIT CORP,38.1422,-122.229931,"(-122.229931,38.1422)",,100,SAWYER ST,48,SOLANO,	095,,,
010000096,KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO,HHA,HOME HEALTH AGENCY,NON-LTC,0,1761 BROADWAY ST,VALLEJO,94589,2227,"DINGEL-STEWART, SYLVIA",JENNIFER.X.LILLARD@KP.ORG,(707) 645-2115,(707) 645-2720,580,SOLANO,11,SANTA ROSA,Y,010000008,KAISER FOUNDATION HOSPITALS,01JUL1967,01DEC2017,30NOV2018,NONPROFIT CORP,38.13045,-122.253961,"(-122.253961,38.13045)",406480927,1761,BROADWAY ST,48,SOLANO,	095,,,
010000098,ADVENTIST HEALTH HOME CARE SERVICES,HHA,HOME HEALTH AGENCY,NON-LTC,0,27 WOODLAND RD,SAINT HELENA,94574,9554,,RUTHERPL@AH.ORG,(707) 963-6295,(707) 967-5770,380,NAPA,11,SANTA ROSA,Y,010000074,"SPECIAL CARE HOME HEALTH SERVICES, INC.",01JAN1978,20DEC2017,19DEC2018,NONPROFIT CORP,38.53951,-122.474051,"(-122.474051,38.53951)",406281079,27,WOODLAND RD,28,NAPA,	055,,,
010000140,KINDRED AT HOME,HHA,HOME HEALTH AGENCY,NON-LTC,0,1260 N DUTTON AVE,SANTA ROSA,95401,4659,,JEFF.COPELAND@GENTIVA.COM,(707) 545-8026,(707) 545-7114,590,SONOMA,11,SANTA ROSA,Y,010000084,GENTIVA CERTIFIED HEALTHCARE CORP,17JUN1966,07SEP2018,29MAR2019,PROFIT CORP,38.44919,-122.732061,"(-122.732061,38.44919)",406491098,1260,N DUTTON AVE,49,SONOMA,	097,,,
010000148,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,HHA,HOME HEALTH AGENCY,NON-LTC,0,889 11TH ST,LAKEPORT,95453,4118,"ESTEVO, JENNIFER D",LYKKENF@SUTTERHEALTH.ORG,(707) 263-1964,(707) 263-7400,160,LAKE,11,SANTA ROSA,Y,010000118,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,01FEB1984,28FEB2018,27FEB2019,NONPROFIT CORP,39.049004,-122.922444,"(-122.922444,39.049004)",406172280,889,11TH ST,17,LAKE,	033,,,
010000149,ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY,HHA,HOME HEALTH AGENCY,NON-LTC,0,980 TRANCAS ST,NAPA,94558,2933,,SUZANNE.RYE@STJOE.ORG,(707) 224-7087,(707) 444-1967,380,NAPA,11,SANTA ROSA,Y,010000127,ST. JOSEPH HOME CARE NETWORK,04SEP1984,01APR2018,31MAR2019,NONPROFIT CORP,38.32456,-122.295341,"(-122.295341,38.32456)",406284018,980,TRANCAS ST,28,NAPA,	055,,,
010000150,ADVENTIST HEALTH HOME CARE SERVICES,HHA,HOME HEALTH AGENCY,NON-LTC,0,9245 HIGHWAY 53,LOWER LAKE,95457,,,CREDENTIALING@AH.ORG,(707) 963-6295,(707) 994-0737,160,LAKE,11,SANTA ROSA,Y,010000139,"SPECIAL CARE HOME HEALTH SERVICES, INC.",01JUL1985,20DEC2017,19DEC2018,NONPROFIT CORP,38.91509,-122.612911,"(-122.612911,38.91509)",406174010,9245,HIGHWAY 53,17,LAKE,	033,,,
010000152,MAD RIVER COMMUNITY HOSPITAL HOME CARE SERVICE,HHA,HOME HEALTH AGENCY,NON-LTC,0,4605 VALLEY WEST BLVD,ARCATA,95521,4635,"GOOSBY, BRENDA",HOMEHEALTH@MADRIVERHOSPITAL.COM,(707) 826-8428,(707) 826-8420,110,HUMBOLDT,11,SANTA ROSA,Y,010000166,AMERICAN HOSPITAL MANAGEMENT CORPORATION,28APR1983,28APR2018,27APR2019,PROFIT CORP,40.90025,-124.083761,"(-124.083761,40.90025)",406122313,4605,VALLEY WEST BLVD,12,HUMBOLDT,	023,,,
010000156,NORTHBAY HEALTH AT HOME,HHA,HOME HEALTH AGENCY,NON-LTC,0,4520 BUSINESS CENTER DRIVE,FAIRFIELD,94534,1658,,,(707) 429-6846,(707) 646-3575,580,SOLANO,11,SANTA ROSA,Y,010000037,NORTHBAY HEALTHCARE GROUP,08DEC1980,08DEC2017,07DEC2018,NONPROFIT CORP,38.226012,-122.132581,"(-122.132581,38.226012)",406481008,4520,BUSINESS CENTER DRIVE,48,SOLANO,	095,,,
010000158,ST. JOSEPH HOME CARE -  HUMBOLDT COUNTY,HHA,HOME HEALTH AGENCY,NON-LTC,0,2127 HARRISON AVE.,EUREKA,95501,1854,"FAUCHER, ALICIA J",SUZANNE.RYE@STJOE.ORG,(707) 586-6598,(707) 443-9332,110,HUMBOLDT,11,SANTA ROSA,Y,010000057,ST. JOSEPH HOME CARE NETWORK,01MAY1986,01NOV2017,31OCT2018,NONPROFIT CORP,40.78803,-124.139321,"(-124.139321,40.78803)",406121036,2127,HARRISON AVE.,12,HUMBOLDT,	023,,,
010000160,MILESTONES OF DEVELOPMENT #1,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,150 HILLVIEW DR,VALLEJO,94591,4269,,MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0496,580,SOLANO,11,SANTA ROSA,Y,010000103,MILESTONES OF DEVELOPMENT INC.,03MAY1983,01NOV2018,31OCT2019,NONPROFIT CORP,38.116,-122.204981,"(-122.204981,38.116)",,150,HILLVIEW DR,48,SOLANO,	095,,,
010000161,MILESTONES OF DEVELOPMENT #2,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,136 RON CT,VALLEJO,94591,4238,,MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0430,580,SOLANO,11,SANTA ROSA,Y,010000104,MILESTONES OF DEVELOPMENT INC.,03MAY1983,01NOV2018,31OCT2019,NONPROFIT CORP,38.11347,-122.206731,"(-122.206731,38.11347)",,136,RON CT,48,SOLANO,	095,,,
010000162,MILESTONES OF DEVELOPMENT #3,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,178 SUNRISE WAY,VALLEJO,94591,4240,"YATES, JOAN",MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0496,580,SOLANO,11,SANTA ROSA,Y,010000105,MILESTONES OF DEVELOPMENT INC.,03MAY1983,01NOV2018,31OCT2019,NONPROFIT CORP,38.11426,-122.202701,"(-122.202701,38.11426)",,178,SUNRISE WAY,48,SOLANO,	095,,,
010000163,MILESTONES OF DEVELOPMENT #4,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,132 TERRYBROOK LN,VALLEJO,94591,4251,,MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0496,580,SOLANO,11,SANTA ROSA,Y,010000106,MILESTONES OF DEVELOPMENT INC.,03MAY1983,01NOV2018,31OCT2019,NONPROFIT CORP,38.11415,-122.210501,"(-122.210501,38.11415)",,132,TERRYBROOK LN,48,SOLANO,	095,,,
010000164,MILESTONES OF DEVELOPMENT #5,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,200 LYTHAM WAY,VALLEJO,94591,4317,"YATES, JOAN",MODOFFICE1@AOL.COM,(707) 644-1704,(707) 644-0496,580,SOLANO,11,SANTA ROSA,Y,010000107,MILESTONES OF DEVELOPMENT INC.,03MAY1983,01NOV2017,31OCT2018,NONPROFIT CORP,38.11506,-122.201051,"(-122.201051,38.11506)",,200,LYTHAM WAY,48,SOLANO,	095,,,
010000169,MENDOCINO COAST HOME HEALTH,HHA,HOME HEALTH AGENCY,NON-LTC,0,700 RIVER DR,FORT BRAGG,95437,5403,"WILSON, JUNICE",MPHILLIBER@MCDH.NET,(707) 961-4930,(707) 961-4651,330,MENDOCINO,11,SANTA ROSA,Y,010000146,MENDOCINO COAST HEALTHCARE DISTRICT,04JUN1986,04JUN2018,03JUN2019,HEALTH CARE DISTRICT,39.43173,-123.800431,"(-123.800431,39.43173)",406234031,700,RIVER DR,23,MENDOCINO,	045,,,
010000208,SPRING LAKE VILLAGE,SNF,SKILLED NURSING FACILITY,LTC,70,5555 MONTGOMERY DR,SANTA ROSA,95409,8846,"HERMANSON, KRISTIN",KHERMANSON@COVIA.ORG,(831) 373-2140,(707) 538-8400,590,SONOMA,11,SANTA ROSA,Y,010000147,COVIA COMMUNITIES,14NOV1986,14NOV2018,13NOV2019,NONPROFIT CORP,38.4586,-122.643721,"(-122.643721,38.4586)",206494001,5555,MONTGOMERY DR,49,SONOMA,	097,,,
010000394,"BENNETT VALLEY ICF/DD-H, INC.",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,2416 CACTUS AVE,SANTA ROSA,95405,8355,"HIRE, RICHARD",JALBERO88@YAHOO.COM,(650) 347-8887,(707) 544-6465,590,SONOMA,11,SANTA ROSA,Y,010000182,"BENNETT VALLEY ICF/DD-H, INC.",04JAN1988,01FEB2018,31JAN2019,PROFIT CORP,38.42527,-122.672241,"(-122.672241,38.42527)",,2416,CACTUS AVE,49,SONOMA,	097,,,
010000427,ADULTS IN COMMUNITY TRANSITIONS- ACT 1,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,4795 GADDY LN,KELSEYVILLE,95451,7407,"DAVIS, JAN",ADVOCATESACCT@GMAIL.COM,(707) 263-3927,(707) 279-8822,160,LAKE,11,SANTA ROSA,Y,010000193,ADVOCATES FOR INDEPENDENT LIVING,07SEP1988,07NOV2018,06NOV2019,NONPROFIT CORP,38.98529,-122.829981,"(-122.829981,38.98529)",,4795,GADDY LN,17,LAKE,	033,,,
010000431,PETALUMA ICF/DDH,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,8,805 PETALUMA AVE,SONOMA,95476,6320,"HIRE, RICHARD  A",BPCABIE@GMAIL.COM,(707) 938-9195,(707) 938-9195,590,SONOMA,11,SANTA ROSA,Y,010000191,"PETALUMA ICF/DDH, INC.",28JUL1988,26DEC2017,25DEC2018,PROFIT CORP,38.29218,-122.485041,"(-122.485041,38.29218)",,805,PETALUMA AVE,49,SONOMA,	097,,,
