id,account,video,play_date,play_duration
102,734,19213,2018-10-01,1243
103,167,6268,2019-03-22,8267
104,494,17076,2019-02-09,5067
105,198,25891,2019-05-10,8863
106,803,13460,2018-10-02,8138
107,352,15001,2019-01-27,5890
108,633,62903,2019-01-22,4058
109,800,56393,2018-10-30,6949
110,282,33014,2019-09-03,5970
111,604,14699,2019-02-27,1809
112,564,35666,2019-06-30,6047
113,229,16686,2019-04-07,9587
114,121,60073,2019-02-14,8428
115,714,13111,2019-02-23,7494
116,302,61299,2019-08-29,7935
117,315,24658,2018-10-07,3168
118,579,32993,2018-11-02,837
119,614,62294,2019-05-11,6349
120,890,42637,2019-01-17,3887
121,871,4927,2018-10-06,5314
122,692,18722,2019-05-10,7837
123,637,58358,2019-01-11,10558
124,123,28247,2018-10-06,5231
125,375,51351,2019-07-30,6991
126,804,32604,2018-09-26,2150
127,818,34443,2018-09-30,7107
128,259,52376,2018-12-09,712
129,555,14950,2018-10-25,55
130,743,4105,2019-05-01,575
131,500,50000,2019-05-17,5206
132,83,26400,2018-12-05,7855
133,138,51916,2019-09-03,3873
134,734,25035,2019-05-22,3088
135,891,47505,2019-05-17,6808
136,745,20945,2018-11-26,4309
137,727,39678,2018-12-20,3042
138,382,10182,2018-09-06,2232
139,8,6031,2019-08-01,5693
140,119,32468,2019-02-17,10266
141,293,40186,2019-01-31,2888
142,547,6372,2019-04-11,8207
143,557,46932,2019-04-21,2424
144,350,56432,2019-08-23,8400
145,34,14049,2019-05-14,435
146,195,48299,2018-12-11,8094
147,244,51150,2018-10-27,4980
148,764,6274,2018-11-09,10295
149,318,9518,2019-06-24,10722
150,710,30263,2019-03-10,8313
151,685,3364,2019-02-01,6484
152,821,53827,2018-10-06,7936
153,199,11021,2019-01-18,4073
154,183,58421,2019-02-16,5715
155,7,3118,2019-02-02,9033
156,648,55693,2018-11-08,6765
157,523,31184,2019-01-12,3860
158,882,62983,2019-07-16,5209
159,234,53379,2019-04-15,5194
160,360,22254,2019-08-18,8157
161,635,36558,2019-07-03,6694
162,716,62338,2018-11-12,1174
163,92,24445,2019-07-25,707
164,240,41683,2018-09-08,6601
165,621,11216,2019-05-14,4217
166,308,47271,2019-08-22,7101
167,546,7033,2019-06-14,4108
168,537,55262,2018-10-28,1355
169,882,61618,2019-08-20,10397
170,757,52086,2019-06-06,3888
171,707,33903,2019-07-31,1992
172,702,30018,2019-07-11,249
173,461,28109,2019-08-12,9314
174,565,4999,2018-12-06,5049
175,467,41526,2018-12-15,6252
176,206,14808,2019-06-08,9800
177,628,34002,2019-03-08,6149
178,641,2116,2019-05-29,2419
179,333,32286,2018-11-17,3814
180,763,56365,2019-07-21,4467
181,239,15488,2019-08-26,968
182,754,59422,2019-04-02,6548
183,36,24105,2019-03-04,1900
184,400,25386,2019-08-09,10682
185,21,25888,2019-04-23,7610
186,31,48732,2019-03-06,10600
187,221,11748,2019-02-25,5033
188,838,1949,2019-07-21,10413
189,372,21431,2018-12-25,3490
190,804,46205,2019-04-26,4530
191,609,29614,2019-06-03,3740
192,887,23243,2019-08-14,8796
193,416,47487,2018-10-31,7422
194,599,52893,2018-11-14,1791
195,715,39792,2019-04-29,4158
196,790,64510,2019-08-08,8210
197,582,57833,2019-09-01,4059
198,277,3897,2019-05-23,8200
199,131,51814,2018-10-20,7061
200,373,33966,2019-03-26,3170
201,511,37671,2018-11-23,3962
202,777,1608,2019-08-24,5435
203,506,46085,2019-06-25,4801
204,662,57792,2018-11-27,4676
205,508,41107,2019-01-04,10605
206,17,49461,2018-12-19,5507
207,305,56096,2018-10-27,4249
208,652,34887,2019-07-06,5190
209,335,15809,2019-02-06,5188
210,325,12234,2018-09-16,8007
211,99,48340,2018-09-13,1469
212,230,34305,2019-08-14,6856
213,841,63647,2019-07-26,4974
214,420,21266,2019-09-01,1942
215,86,5479,2019-07-15,3192
216,789,62974,2018-12-05,8492
217,797,5828,2019-07-04,4723
218,454,9719,2019-04-02,5387
219,406,44055,2019-02-04,6181
220,222,5660,2019-02-17,8447
221,482,52602,2019-06-13,10465
222,601,50802,2019-01-20,3718
223,35,57458,2018-10-07,9688
224,79,27828,2018-12-29,5564
225,1,587,2019-04-22,1494
226,654,63720,2018-10-29,1736
227,563,30772,2019-03-15,1619
228,673,18516,2019-08-28,1487
229,553,26857,2019-03-03,3728
230,517,11028,2018-10-10,8978
231,144,56220,2019-08-01,738
232,247,47982,2018-09-20,3042
233,456,62662,2019-03-31,9894
234,728,56147,2018-09-28,7036
235,750,37346,2019-08-13,9074
236,688,54207,2019-03-31,3027
237,485,27853,2018-10-21,7308
238,403,55073,2018-09-12,196
239,508,38456,2018-12-10,3270
240,223,48627,2019-07-29,1583
241,839,42616,2018-12-22,3935
242,236,13516,2019-06-02,26
243,545,41193,2019-02-23,8892
244,741,1444,2019-02-05,687
245,76,53136,2019-02-14,4979
246,682,12150,2019-06-24,9030
247,576,6432,2019-01-05,5743
248,544,6068,2019-08-06,5894
249,97,59644,2019-07-23,2837
250,264,56336,2018-11-18,4029
251,213,59929,2018-12-27,10031
252,488,15986,2018-10-10,9808
253,291,16316,2018-11-12,4387
254,816,18695,2019-08-03,7582
255,776,28767,2019-01-20,10785
256,375,55031,2018-11-06,2294
257,825,25090,2019-02-04,3280
258,305,26633,2018-12-06,3436
259,720,56826,2019-07-08,7447
260,186,16926,2018-12-14,19
261,692,55080,2019-07-31,8908
262,867,23479,2018-10-19,7962
263,106,49703,2019-02-08,1109
264,482,37442,2018-11-12,5607
265,337,1072,2019-06-09,7109
266,20,27296,2019-04-20,6002
267,60,22891,2018-12-28,4428
268,692,36676,2018-10-11,10289
269,805,2204,2018-10-15,6201
270,899,17811,2018-09-07,6801
271,197,25936,2018-11-05,3403
272,723,20996,2019-03-23,9339
273,236,51106,2019-01-29,1147
274,467,43785,2019-01-23,1358
275,799,33727,2018-12-19,7045
276,784,55102,2019-04-20,6552
277,307,14367,2019-02-15,2263
278,563,5262,2019-06-07,8304
279,579,60921,2019-05-25,4109
280,683,27091,2019-08-05,6731
281,682,60138,2019-08-15,319
282,518,51332,2018-09-09,4197
283,361,30995,2018-11-21,3993
284,212,7199,2018-11-22,6685
285,100,32867,2018-12-05,2565
286,324,2972,2019-01-31,5957
287,891,55759,2018-09-27,7172
288,322,63809,2018-11-11,1290
289,702,1601,2019-02-10,8506
290,824,51241,2019-08-29,9844
291,727,17347,2019-02-26,1838
292,536,59140,2019-07-12,6126
293,129,5639,2019-02-18,10440
294,77,34552,2019-01-26,5448
295,714,3176,2019-02-02,1562
296,188,25855,2019-02-10,2629
297,227,28882,2018-10-02,8411
298,898,7879,2019-01-21,4229
299,580,18889,2019-05-21,1830
300,352,13500,2018-11-27,10133
301,896,48362,2019-07-29,6753
302,704,43169,2019-05-05,10021
303,463,3813,2019-07-12,4751
304,547,15164,2019-03-27,104
305,174,31523,2018-09-09,6567
306,370,61892,2018-09-26,994
307,422,37964,2019-02-20,4717
308,123,18311,2019-04-06,9246
309,62,2289,2018-09-28,3434
310,890,17932,2019-02-18,1010
311,108,19431,2019-07-27,7598
312,558,51127,2019-08-20,6036
313,716,62757,2019-05-08,5424
314,453,547,2019-08-14,4331
315,209,30428,2019-03-06,509
316,11,57937,2019-05-23,9728
317,754,3151,2019-03-03,4891
318,217,24948,2019-08-18,8214
319,433,59769,2019-04-17,3853
320,705,1389,2018-12-04,3234
321,556,61393,2019-06-08,3228
322,475,63005,2019-02-08,3610
323,212,52211,2019-02-19,5977
324,473,40416,2019-02-26,6955
325,524,21028,2018-11-27,3825
326,708,5167,2019-06-07,7939
327,755,34497,2019-08-05,7646
328,354,8027,2019-01-10,7318
329,806,1654,2019-01-06,8907
330,92,37625,2018-11-28,623
331,268,16068,2018-11-28,1045
332,368,28942,2019-05-24,6158
333,433,29418,2019-04-23,4696
334,854,15077,2018-12-26,8323
335,412,22572,2018-12-22,7490
336,889,7049,2018-09-11,8648
337,551,61020,2018-10-26,3197
338,853,44558,2019-06-24,9149
339,768,22069,2018-10-22,7904
340,531,36217,2019-05-31,3268
341,186,7958,2019-04-06,9367
342,580,24416,2019-01-13,10622
343,460,34329,2018-10-09,3963
344,600,40025,2018-11-26,10632
345,46,11066,2019-05-20,4111
346,328,53220,2019-01-06,2067
347,312,17992,2018-11-06,7452
348,596,58870,2018-11-30,9444
349,848,13741,2019-08-14,8921
350,161,28657,2018-11-14,7921
351,34,29440,2019-04-29,424
352,838,42067,2018-12-09,9566
353,420,14579,2018-10-10,4292
354,520,23367,2019-05-02,330
355,18,26312,2018-11-26,3462
356,54,27218,2018-11-02,10179
357,400,3523,2018-10-13,4221
358,712,57509,2018-11-18,7085
359,105,55156,2019-04-08,9331
360,681,60815,2019-01-16,6359
361,184,52244,2019-07-17,7922
362,696,25270,2019-04-11,4370
363,633,22725,2018-09-24,2066
364,57,11208,2019-05-09,5315
365,232,59916,2018-10-04,3194
366,734,412,2019-02-14,6947
367,534,8091,2019-04-08,3707
368,338,43883,2019-08-22,5883
369,682,53150,2018-10-02,2859
370,527,47021,2018-09-17,5246
371,400,23391,2019-05-20,6830
372,81,33027,2019-03-20,6810
373,861,51896,2019-05-02,8922
374,783,63723,2019-06-13,8432
375,169,13494,2018-09-24,6137
376,811,44662,2019-02-01,1599
377,292,23505,2019-08-11,7591
378,90,31860,2019-07-27,7334
379,782,21384,2019-08-22,1358
380,100,54550,2019-04-10,4964
381,135,36990,2019-05-22,6308
382,243,42647,2019-08-24,9353
383,531,29235,2019-08-30,2065
384,188,46831,2019-04-06,7327
385,227,22638,2018-12-12,2962
386,887,34869,2018-10-11,247
387,659,48223,2018-09-29,7072
388,495,28679,2018-10-04,527
389,659,16706,2019-03-23,10446
390,494,8910,2018-09-24,10580
391,483,18731,2019-03-24,6573
392,470,44389,2019-08-15,6701
393,105,56471,2018-11-11,3177
394,820,13683,2019-07-05,2839
395,486,49018,2019-04-12,1949
396,305,32367,2019-03-23,8928
397,35,27596,2019-05-22,8917
398,182,32319,2019-04-09,10649
399,844,47530,2019-04-03,10305
400,866,868,2018-10-30,10655
401,584,24937,2019-02-02,1935
402,262,61290,2019-08-15,3618
403,356,44821,2019-06-05,7824
404,234,29103,2019-02-03,8642
405,571,10245,2018-12-05,3631
406,509,48999,2019-05-15,6729
407,138,15757,2018-09-06,5873
408,116,42263,2019-01-02,1784
409,196,57267,2018-11-08,1262
410,609,44163,2018-12-16,395
411,214,1597,2018-11-07,4878
412,64,37005,2019-05-03,977
413,414,29871,2019-03-25,5165
414,819,48080,2019-04-20,4065
415,807,42016,2019-08-08,4584
416,557,4901,2019-01-02,8049
417,777,26507,2019-03-05,9229
418,429,46698,2018-12-14,7022
419,717,63894,2018-10-24,2305
420,246,5631,2019-07-08,1355
421,580,22843,2019-01-03,2904
422,38,18870,2019-04-14,9639
423,545,63073,2019-06-19,215
424,622,37187,2019-04-13,521
425,645,55982,2019-05-11,9843
426,93,22383,2018-12-16,5574
427,831,25729,2019-07-11,5207
428,701,13906,2018-09-06,8101
429,679,8846,2018-11-17,9928
430,329,8654,2018-11-02,5418
431,756,32315,2019-08-18,5337
432,458,41054,2019-07-21,787
433,194,44358,2019-03-01,8851
434,347,37566,2018-09-13,642
435,287,41048,2019-04-05,4631
436,795,35611,2019-02-03,7409
437,34,64445,2019-01-15,6730
438,330,63040,2019-08-05,2078
439,43,52716,2019-03-10,3501
440,337,30002,2018-11-24,9870
441,330,36214,2019-04-09,1186
442,220,32567,2019-06-03,93
443,414,16159,2019-06-26,7110
444,537,16062,2019-07-31,777
445,722,17854,2019-05-02,7941
446,61,10048,2019-05-11,5844
447,275,244,2018-12-31,5320
448,321,60757,2019-08-20,539
449,426,22367,2019-06-16,6963
450,567,28849,2018-09-18,4559
451,78,35444,2018-12-04,4135
452,314,57514,2019-08-27,724
453,575,42457,2018-09-20,7165
454,739,4799,2019-07-07,7779
455,371,49944,2019-02-15,4062
456,613,14199,2019-01-20,6490
457,830,48655,2018-11-17,8412
458,454,55342,2018-11-27,2935
459,762,4177,2019-05-12,541
460,439,7481,2019-03-24,4001
461,836,37784,2018-12-21,8143
462,501,30615,2019-08-21,2769
463,513,17534,2018-11-19,5770
464,243,54221,2019-08-01,8631
465,404,24759,2018-12-17,781
466,46,10461,2019-03-09,423
467,834,17623,2019-04-05,3003
468,867,14548,2018-10-31,6961
469,197,51666,2019-02-18,2122
470,42,41572,2019-07-15,7507
471,831,4732,2019-03-19,4184
472,41,39002,2019-07-29,4761
473,800,21947,2018-10-13,203
474,164,578,2018-12-08,3478
475,156,2468,2018-09-20,6698
476,426,43327,2019-03-01,5829
477,524,18711,2018-09-16,182
478,635,3597,2019-05-25,3987
479,729,53982,2018-09-12,6390
480,832,7477,2019-08-02,5935
481,32,36816,2019-01-02,1501
482,870,26772,2019-01-04,2876
483,532,42676,2019-02-20,7245
484,697,4359,2018-11-30,1972
485,291,6695,2018-09-30,1570
486,70,19776,2018-12-14,1686
487,418,11111,2019-01-18,4699
488,799,59230,2019-04-14,8139
489,460,19451,2019-05-27,6371
490,2,62656,2019-09-03,6844
491,246,2138,2018-10-25,3450
492,464,43460,2019-02-20,2597
493,646,26494,2018-11-05,5696
494,212,35328,2019-06-29,9933
495,125,35316,2018-11-17,3646
496,68,32542,2019-06-14,145
497,55,40772,2018-09-19,8380
498,336,7568,2019-06-19,8757
499,803,33437,2019-04-01,10657
500,675,18340,2019-04-22,10562
501,105,22195,2019-08-06,7189
502,897,38976,2019-06-02,2764
503,292,56042,2019-03-17,9127
504,696,24518,2019-06-16,6236
505,512,7145,2019-03-10,10555
506,191,4152,2018-11-14,8617
507,357,5035,2019-06-08,7252
508,716,47383,2019-04-22,3808
509,743,56437,2019-08-24,9332
510,453,50119,2019-04-20,4334
511,338,53247,2019-02-14,8484
512,387,47345,2018-12-22,6189
513,718,27300,2018-10-13,919
514,723,11894,2018-11-09,5228
515,109,30695,2019-02-05,8761
516,630,42396,2019-01-17,4434
517,549,9043,2019-02-05,669
518,724,5273,2019-04-05,1146
519,546,17871,2019-07-29,6154
520,822,58222,2018-11-09,10562
521,202,37254,2019-02-08,9488
522,255,24152,2019-03-06,4640
523,771,9894,2019-04-18,1773
524,73,41679,2019-01-10,8626
525,447,10798,2019-08-20,10127
526,108,53697,2019-08-11,8415
527,866,2815,2018-11-20,2688
528,576,3382,2019-07-27,2442
529,79,53628,2019-08-23,6435
530,731,44429,2019-04-16,4096
531,667,36459,2019-05-22,1773
532,178,38003,2018-10-27,8368
533,113,57136,2018-12-31,9061
534,606,46193,2019-01-22,8354
535,156,60223,2019-01-17,950
536,90,43783,2019-02-23,5221
537,39,63424,2019-01-09,10303
538,889,57399,2019-03-09,4118
539,853,6345,2018-12-08,104
540,289,50933,2018-11-20,2131
541,428,2048,2019-06-05,6229
542,419,49291,2019-01-25,8560
543,380,12307,2019-07-04,8430
544,1,25075,2019-01-27,725
545,536,61819,2019-05-07,3604
546,216,14773,2019-07-21,7106
547,319,5553,2019-06-22,2395
548,667,22613,2019-03-08,9167
549,157,17002,2019-04-08,5873
550,588,62349,2019-07-13,6502
551,125,51033,2018-12-11,5133
552,124,47184,2018-11-03,5576
553,77,37814,2019-04-06,5251
554,586,5306,2019-03-30,8581
555,455,48829,2019-07-17,9747
556,536,37695,2019-07-20,5985
557,794,21356,2019-07-02,5029
558,627,14371,2019-04-13,541
559,897,19376,2019-01-23,5851
560,360,24950,2019-04-16,6925
561,625,9100,2019-07-21,9170
562,796,8662,2019-05-30,10773
563,693,20649,2018-12-24,8467
564,824,37700,2019-02-26,1189
565,630,15655,2018-09-28,8880
566,409,5622,2019-04-05,1954
567,792,43890,2019-06-22,10150
568,410,50889,2018-10-19,8054
569,39,60940,2019-04-29,8689
570,234,55432,2019-05-08,3624
571,853,46105,2018-10-19,3742
572,812,57588,2019-07-06,7351
573,791,30527,2018-09-25,690
574,120,9040,2018-12-25,5007
575,811,54657,2019-06-22,4812
576,15,18329,2019-07-19,4743
577,358,31037,2018-12-04,5702
578,319,63681,2019-04-02,8025
579,262,15895,2019-07-20,7998
580,408,4907,2019-08-22,1741
581,843,40319,2019-06-16,290
582,545,10117,2018-11-17,8689
583,234,27523,2019-05-24,3408
584,289,42403,2018-11-21,1269
585,210,24986,2018-09-30,1683
586,339,24550,2019-01-05,8805
587,242,29663,2018-11-05,9657
588,541,38395,2018-09-21,2272
589,836,42097,2019-08-31,5275
590,528,7063,2018-10-10,4231
591,689,45351,2019-02-18,9013
592,481,42237,2019-01-27,9480
593,63,7425,2018-09-20,9016
594,395,58443,2019-04-28,303
595,238,29967,2018-10-29,4375
596,185,49218,2019-01-18,2362
597,74,8776,2019-06-24,76
598,577,62736,2019-03-02,7676
599,209,47806,2019-07-07,7986
600,504,45302,2018-09-09,10762
601,328,14818,2018-10-11,2000
602,760,44263,2019-05-28,8219
603,519,46920,2018-10-15,10735
604,325,6436,2018-11-09,1487
605,574,51861,2018-11-26,633
606,57,52616,2019-07-29,3649
607,653,51468,2019-07-03,10583
608,271,51039,2018-09-14,9350
609,244,45108,2019-06-07,3833
610,119,43463,2018-11-05,10213
611,764,30852,2019-07-30,6514
612,754,26259,2018-09-06,658
613,400,24530,2018-09-20,8988
614,356,48835,2019-08-19,2775
615,647,15783,2019-08-02,400
616,826,32147,2018-10-14,2105
617,495,49541,2018-10-17,2126
618,260,13253,2018-09-18,9775
619,735,27774,2019-04-03,4286
620,430,58957,2019-02-06,29
621,45,32350,2019-04-19,4167
622,853,39351,2019-09-04,1336
623,138,58992,2019-08-03,9776
624,507,8782,2019-05-19,586
625,601,43611,2018-09-12,8694
626,573,1363,2019-08-02,7383
627,400,40127,2019-04-26,3189
628,488,27531,2018-09-13,4263
629,97,1545,2019-05-20,9033
630,603,16944,2019-02-23,3962
631,215,57279,2019-08-11,1128
632,488,41962,2019-01-06,1223
633,89,17839,2018-09-26,6211
634,216,60503,2019-07-18,9340
635,470,23908,2019-04-14,4612
636,521,20965,2019-05-13,6322
637,251,14733,2019-02-02,6432
638,528,11676,2018-09-26,71
639,223,36020,2019-02-23,9884
640,840,61061,2019-05-30,2169
641,243,13385,2019-07-21,1330
642,327,13413,2019-03-17,10736
643,865,31651,2019-02-15,7470
644,863,13080,2018-09-18,271
645,364,22356,2018-12-17,8678
646,846,56802,2019-02-03,2493
647,768,41871,2019-03-08,8876
648,826,47422,2019-02-24,568
649,608,60892,2019-08-08,240
650,884,63574,2018-11-06,5071
651,401,15336,2018-12-21,5367
652,783,10290,2019-06-20,10389
653,646,60952,2019-09-03,4139
654,681,9527,2019-08-08,8516
655,413,3713,2019-07-03,6640
656,199,6347,2019-08-16,6381
657,654,49522,2018-09-08,1039
658,608,14119,2019-07-01,10304
659,241,15660,2019-06-24,74
660,104,35625,2018-11-05,9362
661,845,57019,2018-12-19,5509
662,444,55253,2018-09-22,6030
663,828,30350,2019-08-29,5124
664,221,18396,2018-12-31,1602
665,124,39889,2019-08-16,934
666,813,27040,2018-10-16,7411
667,479,36640,2019-04-29,2403
668,862,4266,2019-05-03,4055
669,478,171,2019-08-26,8494
670,129,49192,2019-07-30,459
671,382,53879,2019-01-10,2630
672,820,6963,2019-08-05,3514
673,599,61693,2019-01-25,10341
674,161,53248,2019-07-31,8639
675,226,60868,2019-06-10,3920
676,426,41027,2018-10-31,989
677,288,18307,2018-12-09,7653
678,310,200,2018-12-26,5186
679,675,45250,2019-08-22,306
680,344,50384,2019-05-09,4643
681,480,6997,2019-03-20,7740
682,216,37523,2018-11-16,234
683,246,50820,2019-06-10,10599
684,410,33478,2019-06-19,2671
685,685,45456,2019-02-11,9777
686,797,26240,2018-12-14,5099
687,339,2453,2019-07-22,999
688,217,45640,2019-03-15,3644
689,121,54449,2018-10-12,1183
690,363,58274,2019-07-30,4816
691,289,43216,2019-06-11,7034
692,520,45507,2019-04-24,4963
693,412,24677,2019-07-19,6175
694,864,38503,2019-03-26,382
695,486,45071,2019-08-15,4879
696,122,26889,2019-08-23,3180
697,569,50051,2018-11-28,2290
698,16,3483,2019-01-24,2652
699,266,26099,2018-09-21,10519
700,45,9126,2018-10-09,5311
701,428,47356,2019-05-19,829
702,775,36702,2019-02-06,3353
703,542,2991,2018-11-14,4933
704,895,157,2018-12-02,1529
705,454,31505,2019-08-26,4420
706,442,24426,2019-05-11,8985
707,254,32306,2019-07-11,4656
708,848,25148,2019-03-30,6378
709,687,33682,2019-01-22,9326
710,876,4492,2019-08-27,7624
711,336,40463,2018-11-18,10204
712,645,47401,2019-06-29,8360
713,32,5964,2018-10-25,1140
714,865,48418,2018-10-15,3610
715,633,56695,2019-08-10,5091
716,460,7458,2019-03-28,3237
717,393,44462,2019-01-05,8320
718,625,42353,2018-12-15,1051
719,428,6010,2019-02-22,9257
720,76,6075,2019-08-23,9632
721,88,12438,2019-05-25,9693
722,879,12298,2019-02-03,6059
723,370,45208,2019-07-05,6851
724,133,43796,2019-03-25,7575
725,91,8757,2019-08-20,1238
726,567,15996,2019-08-25,5526
727,649,6497,2019-03-28,3517
728,204,39591,2019-07-19,3372
729,207,6046,2019-03-02,9726
730,37,14692,2019-07-20,130
731,297,5777,2018-11-20,10034
732,126,58809,2018-12-06,1910
733,74,34174,2019-07-30,4800
734,37,46737,2019-08-02,8432
735,843,27074,2019-01-26,6179
736,350,55637,2019-04-04,5899
737,204,43691,2019-08-30,9406
738,699,6704,2019-03-15,32
739,840,46332,2019-06-24,8104
740,751,58589,2019-06-19,2204
741,365,25715,2018-12-18,4664
742,515,30035,2018-09-24,1608
743,690,45768,2019-08-12,10440
744,830,28045,2019-08-05,9080
745,447,14990,2019-03-06,9320
746,866,21177,2019-07-13,3411
747,642,41821,2019-05-13,6838
748,226,61267,2019-05-24,2212
749,789,2545,2018-12-22,5040
750,226,45100,2019-04-14,1081
751,745,1277,2018-11-05,4487
752,817,51958,2019-04-03,4362
753,440,20388,2019-05-26,2651
754,320,9104,2019-07-21,7948
755,370,62471,2018-12-16,1722
756,228,32692,2019-01-16,5037
757,616,45096,2019-02-09,7154
758,805,24833,2018-11-18,3963
759,725,48484,2019-09-01,551
760,769,53256,2019-08-29,9230
761,679,48481,2019-07-20,6556
762,400,23094,2018-11-30,5037
763,37,62004,2019-08-15,6584
764,67,12818,2018-09-29,1662
765,430,14699,2019-05-21,9381
766,593,64320,2019-07-30,1685
767,48,36336,2018-11-17,8281
768,573,22182,2018-12-30,2095
769,358,62933,2019-04-18,3032
770,10,62906,2019-08-25,439
771,494,28660,2019-01-20,6417
772,82,1289,2019-04-14,6742
773,340,491,2018-12-24,780
774,436,10,2019-04-04,2497
775,648,42893,2019-08-16,4583
776,103,15661,2019-08-20,1196
777,120,33185,2019-09-01,104
778,104,33990,2019-06-02,744
779,321,46042,2019-03-28,2793
780,94,61023,2019-08-05,9553
781,530,32674,2019-01-09,1855
782,682,59088,2018-10-14,890
783,353,7282,2018-10-27,8805
784,217,5578,2019-04-11,7975
785,411,53656,2019-07-06,6414
786,418,7872,2019-08-03,7678
787,337,23267,2019-01-27,1016
788,273,52615,2019-05-18,538
789,652,18287,2018-12-20,6817
790,552,21441,2019-06-11,10630
791,431,45810,2019-04-21,3251
792,627,546,2018-10-28,7105
793,526,52429,2019-05-06,196
794,705,16913,2018-12-07,5457
795,119,40478,2019-06-16,2941
796,492,51126,2018-09-24,2931
797,657,48776,2018-11-22,7266
798,53,20911,2019-06-21,4620
799,453,1107,2018-09-29,8227
800,584,14648,2018-12-15,7294
801,686,32585,2019-01-29,7520
802,381,51885,2019-03-27,677
803,856,48869,2018-10-13,5581
804,817,13791,2019-06-20,1345
805,63,13966,2019-03-07,10529
806,202,17338,2018-12-24,4393
807,309,10390,2019-02-28,7168
808,858,43392,2019-06-09,6821
809,167,24606,2018-12-05,8178
810,90,15652,2019-02-07,9958
811,283,53134,2019-01-26,1510
812,727,50180,2019-01-17,8767
813,61,1054,2018-11-26,593
814,12,48613,2018-12-04,10472
815,793,7760,2018-09-17,4004
816,678,22637,2018-09-25,1031
817,675,42073,2018-12-13,249
818,703,47204,2019-02-19,8999
819,338,10652,2019-02-23,5075
820,517,43435,2018-12-12,6359
821,742,25911,2018-10-13,3525
822,426,25528,2019-01-20,3319
823,823,17979,2019-05-07,331
824,138,6504,2019-07-08,9749
825,394,50240,2019-02-16,6301
826,317,6071,2019-07-20,4743
827,288,47522,2019-07-06,9611
828,551,51625,2019-08-04,621
