"name","City","Position"
"IPT","Williamsport, PA","N411431 W0765516"
"ISP","Islip, NY","N404743 W0730601"
"ITH","Ithaca/Cortland, NY","N422928 W0762730"
"LYH","Lynchburg, VA","N371936 W0791202"
"MHT","Manchester, NH","N425604 W0712613"
"PVD","Providence, RI","N414326 W0712542"
"ROC","Rochester, NY","N430708 W0774021"
"SBY","Salisbury, MD","N382026 W0753037"
"SCE","State College, PA","N405057 W0775055"
"SWF","Newburgh/Poughkeepsie, NY","N413015 W0740617"
"BFD","Bradford, PA","N414811 W0783824"
"DUJ","Du Bois, PA","N411042 W0785355"
"EYW","Key West, FL","N243322 W0814534"
"FKL","Franklin/Oil City, PA","N412240 W0795137"
"FLL","Fort Lauderdale, FL","N260421 W0800910"
"JHW","Jamestown, NY","N420912 W0791529"
"LWB","Lewisburg, WV","N375130 W0802358"
"MCO","Orlando, FL","N282544 W0811858"
"PKB","Parkersburg, WV","N392042 W0812621"
"TPA","Tampa, FL","N275832 W0823160"
"ACT","Waco, TX","N313641 W0971350"
"AOO","Altoona, PA","N401747 W0781912"
"BHB","Bar Harbor, ME","N442659 W0682141"
"BKW","Beckley, WV","N374714 W0810727"
"BPT","Beaumont/Port Arthur, TX","N295703 W0940114"
"CKB","Clarksburg/Fairmont, WV","N391748 W0801341"
"CLL","College Station/Bryan, TX","N303519 W0962150"
"DRT","Del Rio, TX","N292222 W1005533"
"GRK","Killeen, TX","N310402 W0974944"
"IAH","Houston, TX","N295850 W0952023"
"JST","Johnstown, PA","N401858 W0785002"
"LCH","Lake Charles, LA","N300734 W0931324"
"LFT","Lafayette, LA","N301219 W0915916"
"MAF","Midland/Odessa, TX","N315633 W1021207"
"MGW","Morgantown, WV","N393834 W0795459"
"MLU","Monroe, LA","N323039 W0920216"
"ORD","Chicago, IL","N415847 W0875415"
"PBG","Plattsburgh, NY","N443903 W732805"
"PQI","Presque Isle/Houlton, ME","N464120 W0680241"
"SHD","Staunton, VA","N381550 W0785347"
"SHV","Shreveport, LA","N322648 W0934932"
"TYR","Tyler, TX","N322115 W0952409"
"CID","Cedar Rapids/Iowa City, IA","N415305 W0914239"
"MCI","Kansas City, MO","N391751 W0944250"
"MLI","Moline, IL","N412655 W0903027"
"MSN","Madison, WI","N430823 W0892015"
"OKC","Oklahoma City, OK","N352335 W0973603"
"OMA","Omaha, NE","N411808 W0955337"
"SBN","South Bend, IN","N414232 W0861907"
"SGF","Springfield, MO","N371440 W0932313"
"TUL","Tulsa, OK","N361154 W0955318"
"GKN","Gulkana, AK","N620918 W1452724"
"ABQ","Albuquerque, NM","N350225 W1063633"
"ATL","Atlanta, GA","N333826 W0842537"
"AUS","Austin, TX","N301140 W0974012"
"BKG","Branson, MO","N363155 W931202"
"DEN","Denver, CO","N395130 W1044001"
"DFW","Dallas/Ft.Worth, TX","N325347 W0970215"
"HOU","Houston, TX","N293844 W0951644"
"MDW","Chicago, IL","N414710 W0874509"
"PDX","Portland, OR","N453519 W1223551"
"PHX","Phoenix, AZ","N332605 W1120035"
"PIE","St. Petersburg, FL","N275438 W0824115"
"RSW","Fort Myers, FL","N263210 W0814519"
"SAN","San Diego, CA","N324401 W1171123"
"SAT","San Antonio, TX","N293201 W0982811"
"SEA","Seattle, WA","N472656 W1221834"
"SLC","Salt Lake City, UT","N404718 W1115840"
"SMF","Sacramento, CA","N384144 W1213527"
"SNA","Santa Ana, CA","N334032 W1175206"
"TUS","Tucson, AZ","N320658 W1105628"
"ABY","Albany, GA","N313208 W0841140"
"ACY","Atlantic City, NJ","N392727 W0743438"
"BMI","Bloomington, IL","N402841 W0885457"
"DSM","Des Moines, IA","N413203 W0933945"
"FNT","Flint, MI","N425756 W0834436"
"GLH","Greenville, MS","N332858 W0905908"
"GRR","Grand Rapids, MI","N425251 W0853122"
"GTR","Columbus, MS","N332701 W0883529"
"JAX","Jacksonville, FL","N302939 W0814116"
"MEM","Memphis, TN","N350237 W0895836"
"SJU","San Juan, PR","N182622 W0660007"
"UTM","Tunica, MS","N344059 W0902050"
"GUM","Guam, TT","N132900 E1444746"
"ROP","Rota, TT","N141028 E1451433"
"SPN","Saipan, TT","N150708 E1454346"
"TIQ","Tinian, TT","N145949 E1453705"
"PTD","Port Alexander, AK","N444036 W745654"
"SIT","Sitka, AK","N570250 W1352142"
"AMA","Amarillo, TX","N351310 W1014221"
"FSM","Fort Smith, AR","N352012 W0942203"
"GGG","Longview/Kilgor/Gladwatr, TX","N322302 W0944241"
"LAW","Lawton/Fort Sill, OK","N343404 W0982460"
"LBB","Lubbock, TX","N333949 W1014922"
"SJT","San Angelo, TX","N312128 W1002947"
"SPS","Wichita Falls, TX","N335920 W0982931"
"STT","Charlotte Amalie, VI","N182014 W0645824"
"STX","Christiansted, VI","N174207 W0644755"
"TXK","Texarkana, AR","N332713 W0935928"
"BOI","Boise, ID","N433352 W1161322"
"BUR","Burbank, CA","N341202 W1182131"
"HNL","Honolulu, HI","N211907 W1575521"
"KOA","Kona, HI","N194420 W1560244"
"LIH","Lihue, HI","N215834 W1592019"
"OAK","Oakland, CA","N374317 W1221315"
"OGG","Kahului, HI","N205355 W1562550"
"ONT","Ontario/San Bernardino, CA","N340322 W1173604"
"RNO","Reno, NV","N392955 W1194605"
"SJC","San Jose, CA","N372145 W1215545"
"JHM","Kapalua, HI","N205747 W1564023"
"LNY","Lanai, HI","N204708 W1565705"
"MKK","Hoolehua, HI","N210910 W1570547"
"FNR","Funter Bay Alaska, AK","N581516 W1345352"
"HOM","Homer, AK","N593844 W1512836"
"KEB","English Bay, AK","N592108 W1515531"
"PGM","Port Graham, AK","N592054 W1514954"
"SOV","Seldovia, AK","N592633 W1514215"
"AIN","Wainwright, AK","N703817 W1595941"
"ANV","Anvik, AK","N623855 W1601124"
"BTI","Barter Island, AK","N700802 W1433455"
"FAI","Fairbanks, AK","N644849 W1475135"
"FYU","Fort Yukon, AK","N663417 W1451502"
"GAL","Galena, AK","N644410 W1565615"
"KAL","Kaltag, AK","N641933 W1584439"
"KSM","St. Mary's, AK","N620338 W1631808"
"NUI","Nuiqsut, AK","N701236 W1510020"
"NUL","Nulato, AK","N644347 W1580423"
"ORV","Noorvik, AK","N664903 W1610120"
"OTZ","Kotzebue, AK","N665305 W1623555"
"PHO","Point Hope, AK","N682056 W1664758"
"PIZ","Point Lay, AK","N694358 W1630019"
"PPC","Prospect, AK","N664846 W1503838"
"RBY","Ruby, AK","N644338 W1552812"
"SCC","Deadhorse, AK","N701141 W1482755"
"VEE","Venetie, AK","N670031 W1462159"
"WTK","Noatak, AK","N673344 W1625831"
"A29","Kiluda Bay, AK","N570308 W1352046"
"ADQ","Kodiak, AK","N574460 W1522938"
"AKK","Akhiok, AK","N565619 W1541057"
"ALZ","Alitak, AK","N565358 W1541452"
"AOS","Amook Bay, AK","N572817 W1534855"
"KKB","Kitoi Bay, AK","N581127 W1522214"
"KLN","Larsen Bay, AK","N573206 W1535842"
"KOZ","Ouzinkie, AK","N575522 W1523002"
"KPR","Port Williams, AK","N582924 W1523456"
"KPY","Port Bailey, AK","N575548 W1530226"
"KWP","West Point, AK","N574612 W1533256"
"KYK","Karluk, AK","N573401 W1542701"
"KZB","Zachar Bay, AK","N573300 W1534500"
"OLH","Old Harbor, AK","N571305 W1531611"
"ORI","Port Lions, AK","N575307 W1525046"
"SYB","Seal Bay, AK","N581000 W1523000"
"UGI","Uganik, AK","N574500 W1531900"
"CGA","Craig, AK","N552844 W1330852"
"HYL","Hollis, AK","N552926 W1323725"
"KTB","Thorne Bay, AK","N554117 W1323212"
"KXA","Kasaan, AK","N553215 W1322351"
"MTM","Metlakatla, AK","N550752 W1313441"
"WFB","Ketchikan, AK","N552040 W1313948"
"WMK","Meyers Chuck, AK","N554423 W1321518"
"ZXM","Saltery Cove, AK","N552431 W1321945"
"EAA","Eagle, AK","N644635 W1410903"
"HCR","Holy Cross, AK","N621118 W1594630"
"KGX","Grayling, AK","N625340 W1600354"
"MCG","Mcgrath, AK","N625710 W1553621"
"NIB","Nikolai, AK","N630103 W1542150"
"RQI","Nixon Fork Mine, AK","N621402 W1544405"
"SRV","Stony River, AK","N614723 W1563519"
"TCT","Takotna, AK","N625934 W1560405"
"TLJ","Tatalina, AK","N625340 W1555835"
"A27","Pogo Mines, AK","N592603 W1514228"
"AET","Allakaket, AK","N663307 W1523720"
"AKP","Anaktuvuk Pass, AK","N680801 W1514436"
"ARC","Arctic Village, AK","N680658 W1453434"
"BIG","Big Delta, AK","N635943 W1454312"
"BTT","Bettles, AK","N665455 W1513141"
"CEM","Central, AK","N653426 W1444660"
"CIK","Chalkyitsik, AK","N663842 W1434424"
"HSL","Huslia, AK","N654151 W1562104"
"HUS","Hughes, AK","N660228 W1541547"
"IRC","Circle, AK","N654950 W1440433"
"KYU","Koyukuk, AK","N645234 W1574338"
"MLY","Manley Hot Springs, AK","N645951 W1503839"
"MNT","Minto, AK","N650837 W1492212"
"MRI","Anchorage, AK","N611252 W1495046"
"RMP","Rampart, AK","N653028 W1500827"
"SHX","Shageluk, AK","N624142 W1593409"
"SVS","Stevens Village, AK","N660032 W1490545"
"TAL","Tanana, AK","N651028 W1520634"
"WBQ","Beaver, AK","N662142 W1472404"
"AKI","Akiak, AK","N605410 W1611350"
"ATT","Atmautluak, AK","N605200 W1621623"
"BET","Bethel, AK","N604647 W1615017"
"CYF","Chifornak, AK","N600857 W1641708"
"EEK","Eek, AK","N601257 W1620020"
"GNU","Goodnews Bay, AK","N590703 W1613439"
"KKH","Kongiganak, AK","N595739 W1625252"
"KKI","Akiachak, AK","N605416 W1612515"
"KLG","Kalskag, AK","N613211 W1602029"
"KPN","Kipnuk, AK","N595559 W1640150"
"KUK","Kasigluk, AK","N605219 W1623129"
"KWK","Kwigillingok, AK","N595235 W1631003"
"KWN","Quinhagak, AK","N594525 W1615246"
"KWT","Kwethluk, AK","N604725 W1612637"
"MLL","Marshall, AK","N615157 W1620409"
"NME","Nightmute, AK","N602813 W1644108"
"NUP","Nunapitchuk, AK","N605421 W1622621"
"OOK","Toksook, AK","N603200 W1650650"
"PKA","Napaskiak, AK","N604210 W1614642"
"PTU","Platinum, AK","N590041 W1614911"
"RSH","Russian Mission, AK","N614647 W1611910"
"TLT","Tuluksak, AK","N610549 W1605810"
"TNK","Tununak, AK","N603432 W1651623"
"TOG","Togiak, AK","N590310 W1602349"
"WNA","Napakiak, AK","N604125 W1615843"
"WTL","Tuntatuliak, AK","N602007 W1624001"
"WWT","Newtok, AK","N605621 W1643828"
"AKN","King Salmon, AK","N584036 W1563857"
"ANI","Aniak, AK","N613454 W1593235"
"BRW","Barrow, AK","N711708 W1564558"
"CDV","Cordova, AK","N602931 W1452840"
"DLG","Dillingham, AK","N590243 W1583012"
"EMK","Emmonak, AK","N624707 W1642928"
"ENA","Kenai, AK","N603423 W1511442"
"GBH","Galbraith Lake, AK","N682845 W1492924"
"HPB","Hooper Bay, AK","N613127 W1660848"
"UNK","Unalakleet, AK","N635318 W1604756"
"VDZ","Valdez, AK","N610802 W1461454"
"CHU","Chuathbaluk, AK","N613459 W1591409"
"CKD","Crooked Creek, AK","N615204 W1580806"
"SLQ","Sleetmute, AK","N614202 W1570957"
"ABL","Ambler, AK","N670622 W1575113"
"BKC","Buckland, AK","N655856 W1610907"
"DRG","Deering, AK","N660410 W1624559"
"ELI","Elim, AK","N643653 W1621618"
"GAM","Gambell, AK","N634560 W1714358"
"GLV","Golovin, AK","N643302 W1630026"
"IAN","Kiana, AK","N665846 W1602609"
"KKA","Koyuk, AK","N645602 W1610929"
"KTS","Teller Mission, AK","N651953 W1662747"
"KVL","Kivalina, AK","N674410 W1643349"
"LUR","Cape Lisburne, AK","N685230 W1660636"
"OBU","Kobuk, AK","N665433 W1565140"
"OME","Nome, AK","N643044 W1652643"
"RDB","Red Dog, AK","N680156 W1625357"
"SHG","Shungnak, AK","N665321 W1570902"
"SHH","Shishmaref, AK","N661458 W1660522"
"SKK","Shaktoolik, AK","N642215 W1611326"
"SMK","St. Michael, AK","N632924 W1620637"
"SVA","Savoonga, AK","N634111 W1702933"
"TLA","Teller, AK","N651425 W1662022"
"TNC","Tin City, AK","N653347 W1675518"
"WAA","Wales, AK","N653726 W1680557"
"WBB","Stebbins, AK","N633058 W1621641"
"WLK","Selawik, AK","N663600 W1595910"
"WMO","White Mountain, AK","N644121 W1632445"
"CEX","Chena Hot Springs, AK","N650307 W1460251"
"CXF","Coldfoot, AK","N671506 W1501224"
"KBC","Birch Creek, AK","N661626 W1454927"
"LMA","Lake Minchumina, AK","N635310 W1521807"
"MHM","Minchumina, AK","N635250 W1521802"
"TKJ","Tok, AK","N631744 W1430022"
"UTO","Utopia, AK","N655934 W1534214"
"ABI","Abilene, TX","N322441 W0994055"
"COS","Colorado Springs, CO","N384821 W1044201"
"CRP","Corpus Christi, TX","N274613 W0973004"
"EGE","Eagle, CO","N393833 W1065504"
"ELP","El Paso, TX","N314824 W1062240"
"FAT","Fresno, CA","N364634 W1194305"
"GJT","Grand Junction, CO","N390721 W1083136"
"HDN","Steamboat Springs/Hayden, CO","N402852 W1071304"
"JAC","Jackson, WY","N433626 W1104416"
"MFE","Mission/Mcallen/Edinburg, TX","N261033 W0981419"
"MTJ","Montrose/Delta, CO","N383032 W1075338"
"PSP","Indio/Palm Springs, CA","N334947 W1163024"
"SFB","Orlando, FL","N284640 W0811415"
"ADK","Adak Island, AK","N515241 W1763846"
"BLI","Bellingham, WA","N484734 W1223215"
"EUG","Eugene, OR","N440724 W1231307"
"JNU","Juneau, AK","N582118 W1343435"
"KTN","Ketchikan, AK","MIAMI"
"PSG","Petersburg, AK","N564806 W1325643"
"PUW","Pullman, WA","N464438 W1170634"
"WRG","Wrangell, AK","N562904 W1322211"
"YAK","Yakutat, AK","N593012 W1393937"
"BQN","Aguadilla, PR","N182942 W0670746"
"LGB","Long Beach, CA","N334904 W1180906"
"PSE","Ponce, PR","N180030 W0663347"
"A23","Bradley Lake, AK","N565311 W1340930"
"AUK","Alakanuk, AK","N624048 W1643936"
"CDB","Cold Bay, AK","N551220 W1624327"
"CLP","Clarks Point, AK","N585032 W1583243"
"CZF","Cape Romanzof, AK","N614649 W1660219"
"DRF","Drift River, AK","N603522 W1520928"
"DUT","Dutch Harbor, AK","N535400 W1663237"
"EHM","Cape Newenham, AK","N583847 W1620346"
"KEK","Ekwok, AK","N592114 W1572828"
"KGK","Koliganek, AK","N594336 W1571533"
"KLL","Levelock, AK","N590705 W1565155"
"KMO","Manokotak, AK","N585920 W1590260"
"KNW","New Stuyahok, AK","N592702 W1571935"
"KOT","Kotlik, AK","N630150 W1633158"
"KVC","King Cove, AK","N550659 W1621558"
"MOU","Mountain Village, AK","N620543 W1634055"
"MYU","Mekoryuk, AK","N602217 W1661614"
"SCM","Scammon Bay, AK","N615040 W1653426"
"SXP","Sheldon Point, AK","N623114 W1645052"
"TWA","Twin Hills, AK","N590432 W1601623"
"VAK","Chevak, AK","N613201 W1653501"
"WKK","Aleknagik, AK","N591657 W1583704"
"ATK","Atqasuk, AK","N702802 W1572609"
"LVD","Lime Village, AK","N612133 W1552626"
"PQS","Pilot Station, AK","N615604 W1625358"
"RDV","Red Devil, AK","N614716 W1572053"
"AGN","Angoon, AK","N573013 W1343506"
"ELV","Elfin Cove, AK","N581143 W1362051"
"PEC","Pelican, AK","N575719 W1361411"
"TKE","Tenakee, AK","N574647 W1351306"
"DOF","Dora Bay, AK","N551400 W1321300"
"EDA","Edna Bay, AK","N555656 W1333943"
"FVX","Grace Harbor, AK","N372127 W782616"
"HYG","Hydaburg, AK","N551223 W1324942"
"KCC","Coffman Cove, AK","N560053 W1325002"
"KPB","Point Baker, AK","N562107 W1333721"
"NKI","Naukiti, AK","N555059 W1331340"
"PPV","Port Protection, AK","N561944 W1333636"
"WHD","Hyder, AK","N555412 W1300024"
"WWP","Whale Pass, AK","N560659 W1330718"
"ZXH","Chomondely Sound, AK","N551421 W1320651"
"ILI","Iliamna, AK","N594514 W1545439"
"NLG","Nelson Lagoon, AK","N560027 W1610937"
"AKB","Atka, AK","N521313 W1741223"
"BSZ","Bartletts, AK","N581401 W1572101"
"EGX","Egegik, AK","N581108 W1572232"
"IGG","Igiugig, AK","N591925 W1555412"
"IKO","Nikolski, AK","N525630 W1685056"
"KCG","Chignik Fisheries, AK","N561904 W1583526"
"KCL","Chignik Lagoon, AK","N561840 W1583203"
"KCQ","Chignik, AK","N561841 W1582224"
"KFP","False Pass, AK","N545051 W1632437"
"KNK","Kokhanok, AK","N592559 W1545827"
"KPV","Perryville, AK","N555429 W1590931"
"KQA","Akutan, AK","N540802 W1654642"
"PIP","Pilot Point, AK","N573449 W1573403"
"PML","Port Moller, AK","N560021 W1603338"
"PTH","Port Heiden, AK","N565734 W1583755"
"SDP","Sandpoint, AK","N551854 W1603104"
"SNP","St. Paul, AK","N571002 W1701314"
"STG","St. George Island, AK","N563438 W1693949"
"UGB","Pilot Point, AK","N572531 W1574424"
"WSN","South Naknek, AK","N584212 W1570030"
"CZN","Chisana, AK","N620416 W1420254"
"HKB","Healy Lake, AK","N635203 W1485808"
"BVU","Beluga, AK","N355651 W1145140"
"SKW","Skwentna, AK","N615755 W1511129"
"TYE","Tyonek, AK","N610436 W1510817"
"XWA","Granite Point, AK","N605742 W1511954"
"NNL","Nondalton, AK","N595845 W1545023"
"PDB","Pedro Bay, AK","N594723 W1540726"
"PTA","Port Alsworth, AK","N601216 W1541908"
"PVY","Pope Vanoy, AK","N591900 W1545500"
"GST","Gustavus, AK","N582531 W1354227"
"HNH","Hoonah, AK","N580552 W1352418"
"HNS","Haines, AK","N591441 W1353110"
"KAE","Kake, AK","N565741 W1335437"
"SGY","Skagway, AK","N592736 W1351856"
"ATW","Appleton, WI","N441527 W0883110"
"GUC","Gunnison, CO","N383202 W1065559"
"SWO","Stillwater, OK","N360937 W0970509"
"BIL","Billings, MT","N454828 W1083234"
"BZN","Bozeman, MT","N454637 W1110911"
"DLH","Duluth, MN","N465032 W0921137"
"FAR","Fargo, ND","N465512 W0964857"
"FSD","Sioux Falls, SD","N433453 W0964430"
"GRB","Green Bay/Clintonville, WI","N442906 W0880747"
"GTF","Great Falls, MT","N472855 W1112214"
"IDA","Idaho Falls, ID","N433049 W1120415"
"MBS","Saginaw/Bay City/Midland, MI","N433158 W0840447"
"MOT","Minot, ND","N481534 W1011649"
"MSO","Missoula, MT","N465459 W1140526"
"ABR","Aberdeen, SD","N452657 W0982519"
"AZO","Kalamazoo, MI","N421406 W0853307"
"BIS","Bismarck/Mandan, ND","N464622 W1004445"
"COU","Columbia, MO","N384905 W0921310"
"DAL","Dallas, TX","N325050 W0965106"
"ECP","Panama City, FL","N302130 W854744"
"EVV","Evansville, IN","N380217 W0873150"
"FWA","Fort Wayne, IN","N405842 W0851143"
"GFK","Grand Forks, ND","N475657 W0971034"
"LAN","Lansing, MI","N424643 W0843514"
"LNK","Lincoln, NE","N405104 W0964533"
"LSE","La Crosse, WI","N435244 W0911525"
"MQT","Marquette, MI","N462113 W0872345"
"PIA","Peoria, IL","N403951 W0894136"
"PLN","Pellston, MI","N453415 W0844748"
"RST","Rochester, MN","N435426 W0922956"
"TVC","Traverse City, MI","N444429 W0853456"
"LJN","Lake Jackson, TX","N290631 W0952743"
"EFD","Houston, TX","N293626 W0950932"
"FOE","Topeka, KS","N385703 W0953949"
"FRG","Farmingdale, NY","N404344 W0732448"
"PTK","Pontiac, MI","N423955 W0832507"
"RAP","Rapid City, SD","N440243 W1030327"
"AZA","Phoenix, AZ","N331828 W1113920"
"BFL","Bakersfield, CA","N352601 W1190324"
"HRL","Harlingen/San Benito, TX","N261343 W0973916"
"TWF","Twin Falls, ID","N422854 W1142916"
"BED","Bedford, MA","N422812 W0711721"
"BKL","Cleveland, OH","N413103 W0814100"
"BQK","Brunswick, GA","N311532 W0812759"
"CMI","Champaign/Urbana, IL","N400221 W0881641"
"GCK","Garden City, KS","N375539 W1004328"
"LCK","Columbus, OH","N394850 W0825540"
"MQY","Smyrna, TN","N360032 W0863112"
"PSM","Portsmouth, NH","N430441 W0704924"
"RFD","Rockford, IL","N421143 W0890550"
"SUS","St. Louis, MO","N383943 W0903904"
"YIP","Detroit, MI","N421417 W0833149"
"ILG","Wilmington, DE","N394043 W0753624"
"MHK","Manhattan/Ft. Riley, KS","N390827 W0964015"
"PVU","Provo, UT","N401309 W1114324"
"ESD","Eastsound, WA","N484229 W1225438"
"FRD","Friday Harbor, WA","N483119 W1230128"
"OTS","Anacortes, WA","N482956 W1223945"
"PNE","Philadelphia, PA","N400455 W0750038"
"ASE","Aspen, CO","N391323 W1065208"
"DRO","Durango, CO","N370905 W1074514"
"AHN","Athens, GA","N335655 W0831935"
"ALM","Alamogordo, NM","N325024 W1055926"
"CNM","Carlsbad, NM","N322015 W1041548"
"HNM","Hana, HI","N204744 W1560052"
"HOB","Hobbs, NM","N324115 W1031301"
"LUP","Kalaupapa, HI","N211240 W1565825"
"MCN","Macon, GA","N324134 W0833857"
"MKL","Jackson, TN","N353560 W0885456"
"MUE","Kamuela, HI","N200005 W1554005"
"OWB","Owensboro, KY","N374424 W0871001"
"BID","Block Island, RI","N411005 W0713440"
"WST","Westerly, RI","N412059 W0714812"
"FYV","Fayetteville, AR","N360018 W0941012"
"LAF","Lafayette, IN","N402444 W0865613"
"LAR","Laramie, WY","N411843 W1054030"
"ACV","Eureka/Arcata, CA","N405841 W1240631"
"BTM","Butte, MT","N455717 W1122951"
"CDC","Cedar City, UT","N374203 W1130556"
"CEC","Crescent City, CA","N414649 W1241412"
"CIC","Chico, CA","N394743 W1215130"
"CLD","Carlsbad, CA","N330742 W1171648"
"CMX","Hancock/Houghton, MI","N471006 W0882921"
"COD","Cody, WY","N443113 W1090126"
"CPR","Casper, WY","N425429 W1062752"
"CWA","Wausau/Marshfield, WI","N444639 W0894000"
"EAU","Eau Claire, WI","N445155 W0912906"
"EKO","Elko, NV","N404930 W1154730"
"FCA","Kalispell, MT","N481841 W1141518"
"GCC","Gillette, WY","N442056 W1053222"
"HLN","Helena, MT","N463625 W1115858"
"IPL","El Centro, CA","N325003 W1153443"
"IYK","Inyokern, CA","N353932 W1174947"
"LMT","Klamath Falls, OR","N420922 W1214360"
"LWS","Lewiston, ID","N462228 W1170055"
"MFR","Medford, OR","N422227 W1225225"
"MKG","Muskegon, MI","N431010 W0861418"
"MMH","Mammoth Lakes, CA","N373727 W1185016"
"MOD","Modesto, CA","N373733 W1205716"
"MRY","Monterey, CA","N363513 W1215035"
"OTH","North Bend/Coos Bay, OR","N432502 W1241446"
"PAH","Paducah, KY","N370339 W0884626"
"PIH","Pocatello, ID","N425435 W1123545"
"PSC","Pasco/Kennewick/Richland, WA","N461553 W1190709"
"RDD","Redding, CA","N403032 W1221736"
"RDM","Bend/Redmond, OR","N441515 W1210860"
"RKS","Rock Springs, WY","N413539 W1090355"
"SBA","Santa Barbara, CA","N342534 W1195025"
"SBP","San Luis Obispo/Paso Robles, CA","N351413 W1203831"
"SGU","St. George, UT","N370526 W1133535"
