"from","to","Carrier","Departures","Seats","Passengers","Aircraft","Distance"
"CLT","CMH","PSA Airlines Inc.",34,2380,1449,631,346
"CLT","CRW","PSA Airlines Inc.",82,4100,2826,629,221
"CLT","CVG","PSA Airlines Inc.",19,950,668,629,335
"CLT","CVG","PSA Airlines Inc.",27,1890,1451,631,335
"CLT","DAB","PSA Airlines Inc.",7,350,318,629,416
"CLT","DAB","PSA Airlines Inc.",76,5320,4684,631,416
"CLT","DAY","PSA Airlines Inc.",82,4100,2962,629,370
"CLT","DAY","PSA Airlines Inc.",87,6090,4792,631,370
"CLT","DCA","PSA Airlines Inc.",17,850,290,629,331
"CLT","DTW","PSA Airlines Inc.",4,200,197,629,500
"CLT","DTW","PSA Airlines Inc.",8,560,502,631,500
"CLT","EWN","PSA Airlines Inc.",63,3150,2322,629,221
"CLT","EWN","PSA Airlines Inc.",1,70,57,631,221
"CLT","FAY","PSA Airlines Inc.",25,1250,960,629,118
"CLT","FAY","PSA Airlines Inc.",58,4060,2795,631,118
"CLT","GNV","PSA Airlines Inc.",115,5750,4554,629,389
"CLT","GNV","PSA Airlines Inc.",1,70,66,631,389
"CLT","GPT","PSA Airlines Inc.",67,3350,2889,629,577
"CLT","GPT","PSA Airlines Inc.",22,1540,991,631,577
"CLT","GSO","PSA Airlines Inc.",16,800,535,629,83
"CLT","GSO","PSA Airlines Inc.",16,1120,848,631,83
"CLT","GSP","PSA Airlines Inc.",5,250,152,629,75
"CLT","HPN","PSA Airlines Inc.",50,2500,2207,629,564
"CLT","HPN","PSA Airlines Inc.",1,70,35,631,564
"CLT","HSV","PSA Airlines Inc.",46,2300,1837,629,333
"CLT","HSV","PSA Airlines Inc.",42,2940,2123,631,333
"CLT","IAD","PSA Airlines Inc.",5,250,202,629,321
"CLT","IAD","PSA Airlines Inc.",23,1610,1297,631,321
"CLT","ILM","PSA Airlines Inc.",3,150,75,629,185
"CLT","ILM","PSA Airlines Inc.",50,3500,2675,631,185
"CLT","IND","PSA Airlines Inc.",36,1800,1523,629,428
"CLT","IND","PSA Airlines Inc.",29,2030,1627,631,428
"CLT","JAN","PSA Airlines Inc.",101,5050,3684,629,562
"CLT","LEX","PSA Airlines Inc.",35,1750,1187,629,282
"CLT","LGA","PSA Airlines Inc.",41,2050,1624,629,544
"CLT","LIT","PSA Airlines Inc.",23,1150,986,629,641
"CLT","LIT","PSA Airlines Inc.",32,2240,1961,631,641
"CLT","MDT","PSA Airlines Inc.",28,1400,1162,629,413
"CLT","MDT","PSA Airlines Inc.",29,2030,1753,631,413
"CLT","MGM","PSA Airlines Inc.",80,4000,2504,629,372
"CLT","MKE","PSA Airlines Inc.",1,50,35,629,651
"CLT","MKE","PSA Airlines Inc.",11,770,560,631,651
"CLT","MLB","PSA Airlines Inc.",6,300,279,629,490
"CLT","MLB","PSA Airlines Inc.",68,4760,3562,631,490
"CLT","MOB","PSA Airlines Inc.",79,3950,2301,629,526
"CLT","MOB","PSA Airlines Inc.",3,210,105,631,526
"CLT","MSP","PSA Airlines Inc.",4,280,230,631,930
"CLT","MSY","PSA Airlines Inc.",11,770,716,631,651
"CLT","MYR","PSA Airlines Inc.",36,2520,1724,631,156
"CLT","OAJ","PSA Airlines Inc.",79,3950,2528,629,191
"CLT","OAJ","PSA Airlines Inc.",52,3640,2407,631,191
"CLT","ORF","PSA Airlines Inc.",35,1750,1523,629,290
"CLT","ORF","PSA Airlines Inc.",34,2380,1943,631,290
"CLT","PGV","PSA Airlines Inc.",117,5850,3987,629,203
"CLT","PGV","PSA Airlines Inc.",1,70,61,631,203
"CLT","PHF","PSA Airlines Inc.",46,2300,1587,629,282
"CLT","PNS","PSA Airlines Inc.",1,50,44,629,488
"CLT","PNS","PSA Airlines Inc.",69,4830,3911,631,488
"CLT","PWM","PSA Airlines Inc.",7,350,323,629,812
"CLT","PWM","PSA Airlines Inc.",6,420,386,631,812
"CLT","RDU","PSA Airlines Inc.",3,150,133,629,130
"CLT","RDU","PSA Airlines Inc.",5,350,326,631,130
"CLT","RIC","PSA Airlines Inc.",6,300,249,629,256
"CLT","ROA","PSA Airlines Inc.",28,1400,890,629,155
"CLT","SAV","PSA Airlines Inc.",17,850,349,629,213
"CLT","SAV","PSA Airlines Inc.",40,2800,2141,631,213
"CLT","SDF","PSA Airlines Inc.",26,1300,774,629,336
"CLT","SDF","PSA Airlines Inc.",71,4970,3063,631,336
"CLT","SRQ","PSA Airlines Inc.",10,500,329,629,547
"CLT","SRQ","PSA Airlines Inc.",15,1050,891,631,547
"CLT","STL","PSA Airlines Inc.",5,250,175,629,575
"CLT","STL","PSA Airlines Inc.",12,840,492,631,575
"CLT","TLH","PSA Airlines Inc.",11,550,414,629,386
"CLT","TLH","PSA Airlines Inc.",108,7560,5258,631,386
"CLT","TRI","PSA Airlines Inc.",64,3200,1967,629,120
"CLT","TYS","PSA Airlines Inc.",206,10300,6204,629,177
"CLT","TYS","PSA Airlines Inc.",51,3570,2119,631,177
"CLT","VPS","PSA Airlines Inc.",77,3850,2716,629,460
"CLT","VPS","PSA Airlines Inc.",1,70,34,631,460
"CLT","XNA","PSA Airlines Inc.",77,3850,2681,629,754
"CMH","CLT","PSA Airlines Inc.",1,50,50,629,346
"CMH","CLT","PSA Airlines Inc.",34,2380,1974,631,346
"CMH","CRW","PSA Airlines Inc.",1,50,49,629,131
"CRW","CLT","PSA Airlines Inc.",81,4050,2929,629,221
"CVG","CLT","PSA Airlines Inc.",19,950,744,629,335
"CVG","CLT","PSA Airlines Inc.",27,1890,1324,631,335
"CVG","PHL","PSA Airlines Inc.",2,100,51,629,507
"DAB","CLT","PSA Airlines Inc.",7,350,291,629,416
"DAB","CLT","PSA Airlines Inc.",76,5320,4966,631,416
"DAY","CLT","PSA Airlines Inc.",83,4150,3337,629,370
"DAY","CLT","PSA Airlines Inc.",85,5950,4080,631,370
"DAY","DCA","PSA Airlines Inc.",104,5200,3346,629,391
"DAY","LGA","PSA Airlines Inc.",35,1750,1241,629,549
"DAY","PHL","PSA Airlines Inc.",87,4350,3241,629,477
"DCA","ABE","PSA Airlines Inc.",1,50,16,629,151
"DCA","BNA","PSA Airlines Inc.",89,4450,3224,629,562
"DCA","BUF","PSA Airlines Inc.",24,1200,700,629,296
"DCA","CAE","PSA Airlines Inc.",7,350,149,629,408
"DCA","CAK","PSA Airlines Inc.",30,1500,920,629,274
"DCA","CHA","PSA Airlines Inc.",24,1200,607,629,523
"DCA","CHS","PSA Airlines Inc.",4,200,143,629,444
"DCA","CLT","PSA Airlines Inc.",16,800,714,629,331
"DCA","DAY","PSA Airlines Inc.",74,3700,2742,629,391
"DCA","DTW","PSA Airlines Inc.",20,1000,847,629,405
"DCA","GSO","PSA Airlines Inc.",23,1150,574,629,248
"DCA","GSP","PSA Airlines Inc.",26,1300,752,629,396
"DCA","HPN","PSA Airlines Inc.",45,2250,1647,629,234
"DCA","HSV","PSA Airlines Inc.",23,1150,699,629,613
"DCA","MYR","PSA Airlines Inc.",13,650,332,629,372
"DCA","ORF","PSA Airlines Inc.",4,200,56,629,142
"DCA","PHL","PSA Airlines Inc.",31,1550,679,629,119
"DCA","PIT","PSA Airlines Inc.",2,100,45,629,205
"DCA","SAV","PSA Airlines Inc.",14,700,356,629,520
"DCA","SYR","PSA Airlines Inc.",26,1300,1035,629,298
"DCA","TYS","PSA Airlines Inc.",80,4000,1865,629,436
"DTW","CLT","PSA Airlines Inc.",4,200,186,629,500
"DTW","CLT","PSA Airlines Inc.",8,560,408,631,500
"DTW","DCA","PSA Airlines Inc.",21,1050,751,629,405
"EWN","CLT","PSA Airlines Inc.",63,3150,2555,629,221
"EWN","CLT","PSA Airlines Inc.",1,70,69,631,221
"FAY","CLT","PSA Airlines Inc.",25,1250,953,629,118
"FAY","CLT","PSA Airlines Inc.",56,3920,2994,631,118
"GNV","CAE","PSA Airlines Inc.",1,50,38,629,301
"GNV","CLT","PSA Airlines Inc.",114,5700,4332,629,389
"GPT","CLT","PSA Airlines Inc.",65,3250,2735,629,577
"GPT","CLT","PSA Airlines Inc.",22,1540,1045,631,577
"GSO","CLT","PSA Airlines Inc.",40,2000,1839,629,83
"GSO","CLT","PSA Airlines Inc.",16,1120,883,631,83
"GSO","DCA","PSA Airlines Inc.",25,1250,704,629,248
"GSO","LGA","PSA Airlines Inc.",23,1150,954,629,461
"GSO","PHL","PSA Airlines Inc.",2,100,100,629,365
"GSP","CLT","PSA Airlines Inc.",5,250,136,629,75
"GSP","DCA","PSA Airlines Inc.",27,1350,731,629,396
"HPN","CLT","PSA Airlines Inc.",53,2650,2221,629,564
"HPN","CLT","PSA Airlines Inc.",1,70,32,631,564
"HPN","DCA","PSA Airlines Inc.",48,2400,1777,629,234
"HPN","GSO","PSA Airlines Inc.",1,50,50,629,481
"HSV","CLT","PSA Airlines Inc.",69,3450,2713,629,333
"HSV","CLT","PSA Airlines Inc.",43,3010,2205,631,333
"IAD","CLT","PSA Airlines Inc.",5,250,211,629,321
"IAD","CLT","PSA Airlines Inc.",23,1610,1100,631,321
"ILM","CLT","PSA Airlines Inc.",3,150,131,629,185
"ILM","CLT","PSA Airlines Inc.",50,3500,2486,631,185
"ILM","LGA","PSA Airlines Inc.",2,100,95,629,501
"IND","CLT","PSA Airlines Inc.",5,250,229,629,428
"IND","CLT","PSA Airlines Inc.",29,2030,1846,631,428
"IND","PHL","PSA Airlines Inc.",30,1500,1134,629,587
"JAN","AGS","PSA Airlines Inc.",1,50,36,629,477
"JAN","CLT","PSA Airlines Inc.",100,5000,3732,629,562
"LEX","CLT","PSA Airlines Inc.",35,1750,1093,629,282
"LGA","CLT","PSA Airlines Inc.",64,3200,2569,629,544
"LGA","DAY","PSA Airlines Inc.",58,2900,2242,629,549
"LGA","GSO","PSA Airlines Inc.",22,1100,881,629,461
"LGA","ILM","PSA Airlines Inc.",2,100,51,629,501
"LIT","CLT","PSA Airlines Inc.",21,1050,939,629,641
"LIT","CLT","PSA Airlines Inc.",32,2240,2042,631,641
"MDT","CLT","PSA Airlines Inc.",28,1400,1173,629,413
"MDT","CLT","PSA Airlines Inc.",28,1960,1744,631,413
"MGM","CAE","PSA Airlines Inc.",1,50,16,629,326
"MGM","CLT","PSA Airlines Inc.",80,4000,2631,629,372
"MKE","CLT","PSA Airlines Inc.",1,50,41,629,651
"MKE","CLT","PSA Airlines Inc.",11,770,533,631,651
"MLB","CLT","PSA Airlines Inc.",6,300,213,629,490
"MLB","CLT","PSA Airlines Inc.",68,4760,2910,631,490
"MOB","ATL","PSA Airlines Inc.",1,50,44,629,302
"MOB","CLT","PSA Airlines Inc.",77,3850,2257,629,526
"MOB","CLT","PSA Airlines Inc.",3,210,118,631,526
"MSP","CLT","PSA Airlines Inc.",4,280,280,631,930
"MSY","CLT","PSA Airlines Inc.",10,700,630,631,651
"MYR","CLT","PSA Airlines Inc.",36,2520,2011,631,156
"MYR","DCA","PSA Airlines Inc.",12,600,370,629,372
"OAJ","CLT","PSA Airlines Inc.",79,3950,3046,629,191
"OAJ","CLT","PSA Airlines Inc.",52,3640,2454,631,191
"ORF","CLT","PSA Airlines Inc.",10,500,399,629,290
"ORF","CLT","PSA Airlines Inc.",34,2380,1925,631,290
"ORF","DCA","PSA Airlines Inc.",3,150,15,629,142
"ORF","LGA","PSA Airlines Inc.",24,1200,942,629,296
"PGV","CLT","PSA Airlines Inc.",117,5850,4414,629,203
"PGV","CLT","PSA Airlines Inc.",1,70,36,631,203
"PHF","CLT","PSA Airlines Inc.",46,2300,1781,629,282
"PHL","AVP","PSA Airlines Inc.",5,250,141,629,105
"PHL","BNA","PSA Airlines Inc.",24,1200,1081,629,675
"PHL","BUF","PSA Airlines Inc.",2,100,86,629,279
"PHL","BWI","PSA Airlines Inc.",52,2600,1736,629,90
"PHL","CAK","PSA Airlines Inc.",53,2650,1771,629,335
"PHL","CLE","PSA Airlines Inc.",2,100,50,629,363
"PHL","CLT","PSA Airlines Inc.",2,100,34,629,448
"PHL","CVG","PSA Airlines Inc.",2,100,63,629,507
"PHL","DAY","PSA Airlines Inc.",90,4500,2943,629,477
"PHL","DCA","PSA Airlines Inc.",26,1300,617,629,119
"PHL","GSO","PSA Airlines Inc.",23,1150,735,629,365
"PHL","HPN","PSA Airlines Inc.",5,250,158,629,116
"PHL","LGA","PSA Airlines Inc.",22,1100,905,629,96
"PHL","RIC","PSA Airlines Inc.",29,1450,934,629,198
"PHL","TYS","PSA Airlines Inc.",58,2900,1342,629,554
"PIT","DCA","PSA Airlines Inc.",2,100,20,629,205
"PNS","CLT","PSA Airlines Inc.",2,100,85,629,488
"PNS","CLT","PSA Airlines Inc.",68,4760,3753,631,488
"PWM","CLT","PSA Airlines Inc.",7,350,331,629,812
"PWM","CLT","PSA Airlines Inc.",6,420,399,631,812
"RDU","CLT","PSA Airlines Inc.",3,150,100,629,130
"RDU","CLT","PSA Airlines Inc.",5,350,331,631,130
"RIC","CLT","PSA Airlines Inc.",35,1750,1615,629,256
"ROA","CLT","PSA Airlines Inc.",28,1400,1123,629,155
"SAV","CLT","PSA Airlines Inc.",17,850,778,629,213
"SAV","CLT","PSA Airlines Inc.",40,2800,2034,631,213
"SAV","DCA","PSA Airlines Inc.",14,700,394,629,520
"SDF","CLT","PSA Airlines Inc.",26,1300,1136,629,336
"SDF","CLT","PSA Airlines Inc.",71,4970,3439,631,336
"SRQ","CLT","PSA Airlines Inc.",10,500,388,629,547
"SRQ","CLT","PSA Airlines Inc.",15,1050,860,631,547
"STL","CLT","PSA Airlines Inc.",5,250,243,629,575
"STL","CLT","PSA Airlines Inc.",12,840,757,631,575
"SYR","DCA","PSA Airlines Inc.",26,1300,796,629,298
"TLH","CLT","PSA Airlines Inc.",11,550,353,629,386
"TLH","CLT","PSA Airlines Inc.",107,7490,5369,631,386
"TRI","CLT","PSA Airlines Inc.",64,3200,1793,629,120
"TYS","CLT","PSA Airlines Inc.",203,10150,6433,629,177
"TYS","CLT","PSA Airlines Inc.",51,3570,1603,631,177
"TYS","DCA","PSA Airlines Inc.",78,3900,1864,629,436
"TYS","GSO","PSA Airlines Inc.",1,50,28,629,228
"TYS","MDT","PSA Airlines Inc.",1,50,35,629,497
"TYS","PHL","PSA Airlines Inc.",57,2850,1362,629,554
"VPS","CLT","PSA Airlines Inc.",75,3750,2339,629,460
"VPS","CLT","PSA Airlines Inc.",1,70,15,631,460
"XNA","CLT","PSA Airlines Inc.",77,3850,3018,629,754
"ABE","PHL","Piedmont Airlines",24,888,647,483,55
"ABE","PHL","Piedmont Airlines",44,2200,1308,484,55
"AGS","CLT","Piedmont Airlines",1,37,21,483,140
"AGS","CLT","Piedmont Airlines",35,1750,1458,484,140
"ALB","LGA","Piedmont Airlines",51,1887,589,483,136
"ALB","PHL","Piedmont Airlines",25,925,361,483,212
"AVL","CLT","Piedmont Airlines",8,296,212,483,92
"AVL","CLT","Piedmont Airlines",33,1650,1276,484,92
"AVP","PHL","Piedmont Airlines",73,2701,1622,483,105
"AVP","PHL","Piedmont Airlines",1,50,11,484,105
"BDL","DCA","Piedmont Airlines",2,74,38,483,313
"BDL","LGA","Piedmont Airlines",52,1924,342,483,101
"BDL","PHL","Piedmont Airlines",4,148,25,483,196
"BGM","PHL","Piedmont Airlines",40,1480,1017,483,165
"BGR","LGA","Piedmont Airlines",36,1332,374,483,378
"BOS","MDT","Piedmont Airlines",23,851,325,483,335
"BTV","LGA","Piedmont Airlines",83,3071,1784,483,258
"BTV","LGA","Piedmont Airlines",1,50,30,484,258
"BTV","PHL","Piedmont Airlines",3,111,97,483,336
"BUF","DCA","Piedmont Airlines",6,222,129,483,296
"BUF","LGA","Piedmont Airlines",46,1702,1067,483,292
"BUF","PHL","Piedmont Airlines",16,592,507,483,279
"BWI","CLT","Piedmont Airlines",1,37,33,483,361
"BWI","LGA","Piedmont Airlines",115,4255,2193,483,185
"BWI","PHL","Piedmont Airlines",49,1813,991,483,90
"BWI","PHL","Piedmont Airlines",32,1600,1056,484,90
"CAE","CLT","Piedmont Airlines",2,74,62,483,88
"CAE","CLT","Piedmont Airlines",24,1200,916,484,88
"CHA","CLT","Piedmont Airlines",2,74,54,483,242
"CHA","CLT","Piedmont Airlines",9,450,268,484,242
"CHO","CLT","Piedmont Airlines",51,1887,1287,483,245
"CHO","CLT","Piedmont Airlines",31,1550,1277,484,245
"CHO","EWR","Piedmont Airlines",1,37,30,483,289
"CHO","LGA","Piedmont Airlines",57,2109,1260,483,305
"CHO","PHL","Piedmont Airlines",24,888,554,483,210
"CHO","PHL","Piedmont Airlines",29,1450,968,484,210
"CLT","AGS","Piedmont Airlines",1,37,25,483,140
"CLT","AGS","Piedmont Airlines",35,1750,1352,484,140
"CLT","AVL","Piedmont Airlines",8,296,233,483,92
"CLT","AVL","Piedmont Airlines",33,1650,1250,484,92
"CLT","BWI","Piedmont Airlines",1,37,3,483,361
"CLT","CAE","Piedmont Airlines",2,74,9,483,88
"CLT","CAE","Piedmont Airlines",24,1200,395,484,88
"CLT","CHA","Piedmont Airlines",2,74,43,483,242
"CLT","CHA","Piedmont Airlines",9,450,280,484,242
"CLT","CHO","Piedmont Airlines",22,814,627,483,245
"CLT","CHO","Piedmont Airlines",57,2850,1955,484,245
"CLT","CRW","Piedmont Airlines",12,444,297,483,221
"CLT","CRW","Piedmont Airlines",1,50,31,484,221
"CLT","EWN","Piedmont Airlines",34,1258,922,483,221
"CLT","EWN","Piedmont Airlines",78,3900,2595,484,221
"CLT","FLO","Piedmont Airlines",72,2664,1821,483,99
"CLT","FLO","Piedmont Airlines",51,2550,1943,484,99
"CLT","GSP","Piedmont Airlines",10,370,300,483,75
"CLT","GSP","Piedmont Airlines",56,2800,1831,484,75
"CLT","HHH","Piedmont Airlines",172,6364,3550,483,207
"CLT","HHH","Piedmont Airlines",1,50,13,484,207
"CLT","HTS","Piedmont Airlines",30,1110,592,483,235
"CLT","HTS","Piedmont Airlines",74,3700,1832,484,235
"CLT","IAD","Piedmont Airlines",4,148,95,483,321
"CLT","ILM","Piedmont Airlines",3,111,98,483,185
"CLT","ILM","Piedmont Airlines",1,50,21,484,185
"CLT","LYH","Piedmont Airlines",19,703,424,483,175
"CLT","LYH","Piedmont Airlines",122,6100,3966,484,175
"CLT","OAJ","Piedmont Airlines",5,185,112,483,191
"CLT","OAJ","Piedmont Airlines",8,400,255,484,191
"CLT","PGV","Piedmont Airlines",7,259,157,483,203
"CLT","PGV","Piedmont Airlines",21,1050,842,484,203
"CLT","PHF","Piedmont Airlines",15,555,454,483,282
"CLT","PHF","Piedmont Airlines",8,400,309,484,282
"CLT","PHL","Piedmont Airlines",1,50,43,484,448
"CLT","ROA","Piedmont Airlines",20,740,499,483,155
"CLT","ROA","Piedmont Airlines",44,2200,1418,484,155
"CLT","SAV","Piedmont Airlines",1,37,6,483,213
"CLT","SBY","Piedmont Airlines",15,555,403,483,370
"CLT","SBY","Piedmont Airlines",55,2750,2037,484,370
"CLT","TRI","Piedmont Airlines",15,555,385,483,120
"CLT","TRI","Piedmont Airlines",69,3450,1697,484,120
"CLT","TYS","Piedmont Airlines",4,148,51,483,177
"CRW","CLT","Piedmont Airlines",12,444,337,483,221
"CRW","CLT","Piedmont Airlines",1,50,21,484,221
"CRW","PHL","Piedmont Airlines",1,37,3,483,356
"DCA","BDL","Piedmont Airlines",2,74,54,483,313
"DCA","BUF","Piedmont Airlines",4,148,104,483,296
"DCA","HHH","Piedmont Airlines",6,222,118,483,501
"DCA","HPN","Piedmont Airlines",26,962,361,483,234
"DCA","PHL","Piedmont Airlines",19,703,386,483,119
"DCA","ROC","Piedmont Airlines",4,148,66,483,296
"DCA","SYR","Piedmont Airlines",4,148,87,483,298
"ELM","PHL","Piedmont Airlines",60,2220,1556,483,180
"ELM","PHL","Piedmont Airlines",3,150,128,484,180
"ERI","PHL","Piedmont Airlines",74,2738,2040,483,300
"ERI","PHL","Piedmont Airlines",17,850,530,484,300
"EWN","CLT","Piedmont Airlines",34,1258,795,483,221
"EWN","CLT","Piedmont Airlines",78,3900,2996,484,221
"EWR","PHL","Piedmont Airlines",34,1258,926,483,81
"EWR","PHL","Piedmont Airlines",99,4950,4347,484,81
"FLO","CLT","Piedmont Airlines",72,2664,2102,483,99
"FLO","CLT","Piedmont Airlines",51,2550,1808,484,99
"GSP","CLT","Piedmont Airlines",10,370,265,483,75
"GSP","CLT","Piedmont Airlines",56,2800,2174,484,75
"HHH","CLT","Piedmont Airlines",173,6401,3243,483,207
"HHH","CLT","Piedmont Airlines",1,50,21,484,207
"HHH","DCA","Piedmont Airlines",6,222,128,483,501
"HPN","DCA","Piedmont Airlines",26,962,464,483,234
"HPN","PHL","Piedmont Airlines",121,4477,2873,483,116
"HPN","PHL","Piedmont Airlines",4,200,70,484,116
"HTS","CLT","Piedmont Airlines",29,1073,653,483,235
"HTS","CLT","Piedmont Airlines",75,3750,1937,484,235
"HVN","PHL","Piedmont Airlines",115,4255,3384,483,157
"HVN","PHL","Piedmont Airlines",2,100,40,484,157
"IAD","CLT","Piedmont Airlines",4,148,76,483,321
"IAD","LGA","Piedmont Airlines",78,2886,1474,483,229
"IAD","MDT","Piedmont Airlines",1,37,5,483,94
"ILM","CLT","Piedmont Airlines",3,111,97,483,185
"ILM","CLT","Piedmont Airlines",1,50,45,484,185
"IPT","PHL","Piedmont Airlines",82,3034,1855,483,129
"IPT","PHL","Piedmont Airlines",1,50,36,484,129
"ISP","HPN","Piedmont Airlines",1,37,16,483,37
"ISP","PHL","Piedmont Airlines",18,666,544,483,130
"ISP","PHL","Piedmont Airlines",39,1950,1334,484,130
"ITH","LGA","Piedmont Airlines",52,1924,1057,483,178
"ITH","LGA","Piedmont Airlines",1,50,5,484,178
"ITH","PHL","Piedmont Airlines",73,2701,2316,483,192
"ITH","PHL","Piedmont Airlines",35,1750,1186,484,192
"LGA","ALB","Piedmont Airlines",51,1887,911,483,136
"LGA","BDL","Piedmont Airlines",55,2035,538,483,101
"LGA","BGR","Piedmont Airlines",36,1332,802,483,378
"LGA","BTV","Piedmont Airlines",89,3293,1979,483,258
