Host,HOST_NAME,SWITCH_ID,SWITCH_NAME,STORAGE_ARRAY_ID
SL55MAPAYDB2P11,HOSTNAME113,61854,SWITCHNAME113,61811
SL55PTDBDB1P11,HOSTNAME114,61854,SWITCHNAME114,61811
SL55PROFDBP15,HOSTNAME115,61855,SWITCHNAME115,61811
SL55AMSAPP24,HOSTNAME116,61855,SWITCHNAME116,61811
SL55MAPAYDB2P11,HOSTNAME117,61860,SWITCHNAME117,61811
SL55MAPAYDB2P11,HOSTNAME118,61860,SWITCHNAME118,61811
SL55PTDB2P10,HOSTNAME119,61858,SWITCHNAME119,61811
SL55PTDBDB1P12,HOSTNAME120,61858,SWITCHNAME120,61811
SL55MAPAYDB2P11,HOSTNAME121,61831,SWITCHNAME121,61811
SL55PTDB2P10,HOSTNAME122,61831,SWITCHNAME122,61811
SL55MAPAYDB2P10,HOSTNAME123,61812,SWITCHNAME123,61811
SL55PTDB2P10,HOSTNAME124,61812,SWITCHNAME124,61811
SL55PTDB2P02,HOSTNAME125,61848,SWITCHNAME125,61811
SL55MAPAYDB2P10,HOSTNAME126,61848,SWITCHNAME126,61811
SL55MAPAYDB2P11,HOSTNAME127,61848,SWITCHNAME127,61811
SL55PTDB2P10,HOSTNAME128,61848,SWITCHNAME128,61811
SL55PTDB2P11,HOSTNAME129,61848,SWITCHNAME129,61811
SL55PTDB2P11,HOSTNAME130,61848,SWITCHNAME130,61811
SV461ESX796,HOSTNAME131,61848,SWITCHNAME131,0
SL55PTDB2P11,HOSTNAME132,61848,SWITCHNAME132,61811
SL55PTDBDB1P12,HOSTNAME133,61831,SWITCHNAME133,61811
CW460TXPS00N0,HOSTNAME134,61831,SWITCHNAME134,61811
SL55ICSDBP11,HOSTNAME135,61812,SWITCHNAME135,61811
SL55PTDBDB1P12,HOSTNAME136,61812,SWITCHNAME136,61811
SL55ACDBP12,HOSTNAME137,61812,SWITCHNAME137,61811
SL55ACDBP12,HOSTNAME138,61812,SWITCHNAME138,61811
SL55FRADBP12,HOSTNAME139,61831,SWITCHNAME139,61811
SL55FRADBP12,HOSTNAME140,61831,SWITCHNAME140,61811
SL55FRADBP12,HOSTNAME141,61812,SWITCHNAME141,61811
SL55PTDB2P11,HOSTNAME142,61812,SWITCHNAME142,61811
SL55PTDBDB1P12,HOSTNAME143,61831,SWITCHNAME143,61811
SL55PTDBDB1P12,HOSTNAME144,61831,SWITCHNAME144,61811
CW460TXPS00N0,HOSTNAME145,61812,SWITCHNAME145,61811
SV461ESX3743,HOSTNAME146,61812,SWITCHNAME146,61812
SV461ESX3750,HOSTNAME147,61831,SWITCHNAME147,61812
SV461ESX3748,HOSTNAME148,61831,SWITCHNAME148,61812
SV461ESX3755,HOSTNAME149,61831,SWITCHNAME149,61812
SV461ESX3740,HOSTNAME150,61831,SWITCHNAME150,61812
SV461ESX3763,HOSTNAME151,61812,SWITCHNAME151,61812
SV461ESX3761,HOSTNAME152,61812,SWITCHNAME152,61812
SV461ESX3751,HOSTNAME153,61831,SWITCHNAME153,61812
SV461ESX3760,HOSTNAME154,61831,SWITCHNAME154,61812
SV461ESX3762,HOSTNAME155,61812,SWITCHNAME155,61812
SV461ESX3760,HOSTNAME156,61812,SWITCHNAME156,61812
SV461ESX3760,HOSTNAME157,61848,SWITCHNAME157,61812
SV461ESX3758,HOSTNAME158,61848,SWITCHNAME158,61812
SV461ESX3754,HOSTNAME159,61848,SWITCHNAME159,61812
SV461ESX3755,HOSTNAME160,61848,SWITCHNAME160,61812
SV461ESX3765,HOSTNAME161,61831,SWITCHNAME161,61812
SV461ESX3767,HOSTNAME162,61831,SWITCHNAME162,61812
SV461ESX3743,HOSTNAME163,61812,SWITCHNAME163,61812
SV461ESX3763,HOSTNAME164,61812,SWITCHNAME164,61812
SV461ESX3749,HOSTNAME165,61848,SWITCHNAME165,61812
SV461ESX3768,HOSTNAME166,61848,SWITCHNAME166,61812
SV461ESX3763,HOSTNAME167,61848,SWITCHNAME167,61812
SV461ESX3766,HOSTNAME168,61848,SWITCHNAME168,61812
SV461ESX3730,HOSTNAME169,61831,SWITCHNAME169,61812
SV461ESX3764,HOSTNAME170,61831,SWITCHNAME170,61812
SV461ESX3764,HOSTNAME171,61812,SWITCHNAME171,61812
SV461ESX3730,HOSTNAME172,61812,SWITCHNAME172,61812
SV461ESX3721,HOSTNAME173,61812,SWITCHNAME173,61812
SV461ESX3729,HOSTNAME174,61812,SWITCHNAME174,61812
SL55DLPRCD10,HOSTNAME175,61831,SWITCHNAME175,61813
SL55DLPRCD11,HOSTNAME176,61831,SWITCHNAME176,61813
SV461ESX3732,HOSTNAME177,61848,SWITCHNAME177,61812
SV461ESX3732,HOSTNAME178,61848,SWITCHNAME178,61812
SL55RACSIP11,HOSTNAME179,61851,SWITCHNAME179,61813
SV461ESX3734,HOSTNAME180,61851,SWITCHNAME180,61812
SV461ESX3747,HOSTNAME181,61851,SWITCHNAME181,61812
SL55BATDBP12,HOSTNAME182,61851,SWITCHNAME182,61811
SV461ESX3756,HOSTNAME183,61851,SWITCHNAME183,61812
SV461ESX3763,HOSTNAME184,61851,SWITCHNAME184,61812
SV461ESX3766,HOSTNAME185,61851,SWITCHNAME185,61812
SV461ESX3764,HOSTNAME186,61851,SWITCHNAME186,61812
SV461ESX3763,HOSTNAME187,61851,SWITCHNAME187,61812
SV461ESX3764,HOSTNAME188,61851,SWITCHNAME188,61812
SL55BOBJDBC13,HOSTNAME189,61851,SWITCHNAME189,61811
SL55AMSAPP19,HOSTNAME190,61851,SWITCHNAME190,61811
SV461ESX3733,HOSTNAME191,61851,SWITCHNAME191,61812
SV461ESX3738,HOSTNAME192,61851,SWITCHNAME192,61812
SV461ESX3753,HOSTNAME193,61854,SWITCHNAME193,61812
SV461ESX3760,HOSTNAME194,61854,SWITCHNAME194,61812
SV461ESX3763,HOSTNAME195,61854,SWITCHNAME195,61812
SV461ESX3760,HOSTNAME196,61854,SWITCHNAME196,61812
SV461ESX3734,HOSTNAME197,61854,SWITCHNAME197,61812
SV461ESX3719,HOSTNAME198,61854,SWITCHNAME198,61812
SV461ESX3740,HOSTNAME199,61851,SWITCHNAME199,61812
SV461ESX3730,HOSTNAME200,61851,SWITCHNAME200,61812
SL55HYPDRACN10,HOSTNAME201,61851,SWITCHNAME201,61813
SV461ESXNP32,HOSTNAME202,61851,SWITCHNAME202,61813
SV461ESXNP25,HOSTNAME203,61854,SWITCHNAME203,61813
SL55LDAPAPQ10,HOSTNAME204,61854,SWITCHNAME204,61813
CW461OMIQS11N1,HOSTNAME205,61854,SWITCHNAME205,61813
SV461ESXNP25,HOSTNAME206,61854,SWITCHNAME206,61813
SW4522MEDPA13,HOSTNAME207,61848,SWITCHNAME207,61813
SL55COMMDB1Q01,HOSTNAME208,61848,SWITCHNAME208,61813
SV461ESXNP23,HOSTNAME209,61852,SWITCHNAME209,61813
SV461ESXNP58,HOSTNAME210,61852,SWITCHNAME210,61813
SL55RAPRCQ10,HOSTNAME211,61852,SWITCHNAME211,61813
SV461ESXNP26,HOSTNAME212,61852,SWITCHNAME212,61813
SL55COMMDB1Q10,HOSTNAME213,61852,SWITCHNAME213,61813
SL55COMMDB1Q11,HOSTNAME214,61852,SWITCHNAME214,61813
SL55COMMDB1Q01,HOSTNAME215,61852,SWITCHNAME215,61813
SW461HDSDEV10,HOSTNAME216,61852,SWITCHNAME216,61813
SV461ESXCR15,HOSTNAME217,61852,SWITCHNAME217,61813
SV461ESXNP31,HOSTNAME218,61852,SWITCHNAME218,61813
SV461ESXCR19,HOSTNAME219,61852,SWITCHNAME219,61813
SV461ESXCR10,HOSTNAME220,61852,SWITCHNAME220,61813
SL55COMMDB1Q10,HOSTNAME221,61852,SWITCHNAME221,61813
SV461ESXVDI46,HOSTNAME222,61852,SWITCHNAME222,61813
SV461ESXCR14,HOSTNAME223,61855,SWITCHNAME223,61813
SV461ESXCR10,HOSTNAME224,61855,SWITCHNAME224,61813
SL55COMMDB1Q10,HOSTNAME225,61855,SWITCHNAME225,61813
SV461ESXVDI47,HOSTNAME226,61855,SWITCHNAME226,61813
SV461ESXCR11,HOSTNAME227,61855,SWITCHNAME227,61813
SL55COMMDB0Q11,HOSTNAME228,61855,SWITCHNAME228,61813
SL55IFDAPP11,HOSTNAME229,61852,SWITCHNAME229,61813
SL55IFDAPP10,HOSTNAME230,61852,SWITCHNAME230,61813
SV461ESXVDI46,HOSTNAME231,61852,SWITCHNAME231,61813
SL55HYPRWBQ11,HOSTNAME232,61852,SWITCHNAME232,61813
SV461ESXVDI46,HOSTNAME233,61855,SWITCHNAME233,61813
SW461CEDKQA11,HOSTNAME234,61855,SWITCHNAME234,61813
SL55IFDAPP11,HOSTNAME235,61855,SWITCHNAME235,61813
SL55GCSRCP11,HOSTNAME236,61855,SWITCHNAME236,61813
SL55COMMDB0Q00,HOSTNAME237,61860,SWITCHNAME237,61813
SL55COMMDB1Q11,HOSTNAME238,61860,SWITCHNAME238,61813
SL55COMMDB0Q11,HOSTNAME239,61860,SWITCHNAME239,61813
SL55COMMDB1Q10,HOSTNAME240,61860,SWITCHNAME240,61813
SL55COMMDB1Q01,HOSTNAME241,61858,SWITCHNAME241,61813
SV461ESXCR19,HOSTNAME242,61858,SWITCHNAME242,61813
SV461ESXNP32,HOSTNAME243,61858,SWITCHNAME243,61813
SV461ESXCR13,HOSTNAME244,61858,SWITCHNAME244,61813
SV461ESXCR14,HOSTNAME245,61812,SWITCHNAME245,61813
CW460CLARQS00N0,HOSTNAME246,61812,SWITCHNAME246,61813
SV461ESXCR16,HOSTNAME247,61831,SWITCHNAME247,61813
SV461ESXCR10,HOSTNAME248,61831,SWITCHNAME248,61813
SV461ESXCR18,HOSTNAME249,61831,SWITCHNAME249,61813
SL55DLPRCP10,HOSTNAME250,61831,SWITCHNAME250,61813
SL55DLPRCP10,HOSTNAME251,61866,SWITCHNAME251,61813
SV461ESXNP36,HOSTNAME252,61866,SWITCHNAME252,61813
SL55COMMDB1Q11,HOSTNAME253,61812,SWITCHNAME253,61813
SV461ESXVDI45,HOSTNAME254,61812,SWITCHNAME254,61813
SV461ESXNP58,HOSTNAME255,61867,SWITCHNAME255,61813
SL55GCSRCP11,HOSTNAME256,61867,SWITCHNAME256,61813
CW460EPOPS00N0,HOSTNAME257,61851,SWITCHNAME257,61813
SV461ESXCR18,HOSTNAME258,61851,SWITCHNAME258,61813
SV461ESXCR10,HOSTNAME259,61851,SWITCHNAME259,61813
SV461ESXCR16,HOSTNAME260,61851,SWITCHNAME260,61813
SV461ESXCR19,HOSTNAME261,61852,SWITCHNAME261,61813
SV461ESXCR14,HOSTNAME262,61852,SWITCHNAME262,61813
SV461ESXCR10,HOSTNAME263,61852,SWITCHNAME263,61813
SV461ESXCR18,HOSTNAME264,61852,SWITCHNAME264,61813
SL55IFDAPP10,HOSTNAME265,61848,SWITCHNAME265,61813
SL55RAPRCQ10,HOSTNAME266,61848,SWITCHNAME266,61813
SV461ESXCR12,HOSTNAME267,61848,SWITCHNAME267,61813
SV461ESXCR14,HOSTNAME268,61848,SWITCHNAME268,61813
CW461SHDQS10N1,HOSTNAME269,61848,SWITCHNAME269,61813
SV461ESXCR12,HOSTNAME270,61848,SWITCHNAME270,61813
SL55POCAPD16,HOSTNAME271,61848,SWITCHNAME271,61813
SW460TM0LAPA000,HOSTNAME272,61848,SWITCHNAME272,61813
SL55HYPRDBD11,HOSTNAME273,61848,SWITCHNAME273,61813
SL55HYPRDBD10,HOSTNAME274,61848,SWITCHNAME274,61813
SV461ESX764,HOSTNAME275,61848,SWITCHNAME275,61886
SV461ESXCR16,HOSTNAME276,61848,SWITCHNAME276,61813
SV461ESXNP68,HOSTNAME277,61848,SWITCHNAME277,61813
SV461ESXCR13,HOSTNAME278,61848,SWITCHNAME278,61813
SV461ESXCR14,HOSTNAME279,61848,SWITCHNAME279,61813
SV461ESXCR18,HOSTNAME280,61848,SWITCHNAME280,61813
SV461ESXNP63,HOSTNAME281,61812,SWITCHNAME281,61813
SV461ESXNP38,HOSTNAME282,61812,SWITCHNAME282,61813
SV461ESXNP16,HOSTNAME283,61831,SWITCHNAME283,61813
SV461ESXNP16,HOSTNAME284,61831,SWITCHNAME284,61813
SV461ESXNP68,HOSTNAME285,61812,SWITCHNAME285,61813
SV461ESXNP16,HOSTNAME286,61812,SWITCHNAME286,61813
SL55COMMDB1Q10,HOSTNAME287,61831,SWITCHNAME287,61813
SV461ESXNP13,HOSTNAME288,61831,SWITCHNAME288,61813
SV461ESXNP68,HOSTNAME289,61812,SWITCHNAME289,61813
SL55RAC0N00,HOSTNAME290,61812,SWITCHNAME290,61813
SV461ESXCR14,HOSTNAME291,61867,SWITCHNAME291,61813
SL55COMMDB1Q10,HOSTNAME292,61867,SWITCHNAME292,61813
CW461SHDQS10N1,HOSTNAME293,61867,SWITCHNAME293,61813
SV461ESXNP22,HOSTNAME294,61867,SWITCHNAME294,61813
SV461ESXNP58,HOSTNAME295,61867,SWITCHNAME295,61813
CW461SHDQS10N1,HOSTNAME296,61867,SWITCHNAME296,61813
SV461ESXNP18,HOSTNAME297,61868,SWITCHNAME297,61813
SV461ESXNP37,HOSTNAME298,61868,SWITCHNAME298,61813
SV461ESXNP28,HOSTNAME299,61831,SWITCHNAME299,61813
SV461ESXNP52,HOSTNAME300,61831,SWITCHNAME300,61813
SV461ESXVDI46,HOSTNAME301,61866,SWITCHNAME301,61813
SL55RAC0N11,HOSTNAME302,61866,SWITCHNAME302,61813
SV461ESXNP22,HOSTNAME303,61866,SWITCHNAME303,61813
CW261SHDQS10N2,HOSTNAME304,61866,SWITCHNAME304,61813
SL55COMMDB1Q10,HOSTNAME305,61866,SWITCHNAME305,61813
SV461ESXNP21,HOSTNAME306,61866,SWITCHNAME306,61813
SV461ESXNP22,HOSTNAME307,61866,SWITCHNAME307,61813
SV461ESXNP36,HOSTNAME308,61866,SWITCHNAME308,61813
SW460TM0APPA11,HOSTNAME309,61812,SWITCHNAME309,61813
SV461ESXNP47,HOSTNAME310,61812,SWITCHNAME310,61813
CW460SHDPS00N0,HOSTNAME311,61812,SWITCHNAME311,61813
CW460SHDPS00N0,HOSTNAME312,61812,SWITCHNAME312,61813
SV461ESX2003,HOSTNAME313,61831,SWITCHNAME313,61814
SV461ESX2004,HOSTNAME314,61831,SWITCHNAME314,61814
SV461ESXNP45,HOSTNAME315,61831,SWITCHNAME315,61813
SV461ESX2004,HOSTNAME316,61831,SWITCHNAME316,61814
CW460SHDPS00N0,HOSTNAME317,61860,SWITCHNAME317,61813
SV461ESX1985,HOSTNAME318,61860,SWITCHNAME318,61814
SV461ESX1989,HOSTNAME319,61861,SWITCHNAME319,61814
SV461ESX2005,HOSTNAME320,61861,SWITCHNAME320,61814
SV461ESX2003,HOSTNAME321,61854,SWITCHNAME321,61814
SV461ESX1983,HOSTNAME322,61854,SWITCHNAME322,61814
SV461ESX1985,HOSTNAME323,61855,SWITCHNAME323,61814
SV461ESX1989,HOSTNAME324,61855,SWITCHNAME324,61814
SV461ESX2004,HOSTNAME325,61848,SWITCHNAME325,61814
SV461ESX1871,HOSTNAME326,61848,SWITCHNAME326,61814
SV461ESX1871,HOSTNAME327,61848,SWITCHNAME327,61814
SV461ESX1900,HOSTNAME328,61848,SWITCHNAME328,61814
SV461ESX1988,HOSTNAME329,61854,SWITCHNAME329,61814
SV461ESX1998,HOSTNAME330,61854,SWITCHNAME330,61814
SV461ESX1870,HOSTNAME331,61855,SWITCHNAME331,61814
SV461ESX1899,HOSTNAME332,61855,SWITCHNAME332,61814
SV461ESX1909,HOSTNAME333,61831,SWITCHNAME333,61814
SV461ESX1910,HOSTNAME334,61831,SWITCHNAME334,61814
SV461ESX1988,HOSTNAME335,61831,SWITCHNAME335,61814
SV461ESX2007,HOSTNAME336,61831,SWITCHNAME336,61814
SV461ESX1880,HOSTNAME337,61831,SWITCHNAME337,61814
SV461ESX2007,HOSTNAME338,61831,SWITCHNAME338,61814
SV461ESX1998,HOSTNAME339,61831,SWITCHNAME339,61814
SV461ESX2007,HOSTNAME340,61831,SWITCHNAME340,61814
SV461ESX2003,HOSTNAME341,61812,SWITCHNAME341,61814
SV461ESX1988,HOSTNAME342,61812,SWITCHNAME342,61814
SV461ESX2008,HOSTNAME343,61812,SWITCHNAME343,61814
SV461ESX2008,HOSTNAME344,61812,SWITCHNAME344,61814
SV461ESX1988,HOSTNAME345,61812,SWITCHNAME345,61814
SV461ESX2008,HOSTNAME346,61812,SWITCHNAME346,61814
SV461ESX1994,HOSTNAME347,61812,SWITCHNAME347,61814
SV461ESX1984,HOSTNAME348,61812,SWITCHNAME348,61814
SV461ESX2008,HOSTNAME349,61848,SWITCHNAME349,61814
SV461ESX1983,HOSTNAME350,61848,SWITCHNAME350,61814
SV461ESX1990,HOSTNAME351,61848,SWITCHNAME351,61814
SV461ESX1985,HOSTNAME352,61848,SWITCHNAME352,61814
SV461ESX1983,HOSTNAME353,61848,SWITCHNAME353,61814
SV461ESX1994,HOSTNAME354,61848,SWITCHNAME354,61814
SV461ESX2003,HOSTNAME355,61848,SWITCHNAME355,61814
SV461ESX2003,HOSTNAME356,61848,SWITCHNAME356,61814
SV461ESX2008,HOSTNAME357,61855,SWITCHNAME357,61814
SV461ESX1880,HOSTNAME358,61855,SWITCHNAME358,61814
SV461ESX1909,HOSTNAME359,61855,SWITCHNAME359,61814
SV461ESX1993,HOSTNAME360,61854,SWITCHNAME360,61814
SV461ESX2005,HOSTNAME361,61854,SWITCHNAME361,61814
SV461ESX1900,HOSTNAME362,61854,SWITCHNAME362,61814
SV461ESX1901,HOSTNAME363,61854,SWITCHNAME363,61814
SV461ESX1983,HOSTNAME364,61854,SWITCHNAME364,61814
SV461ESX2009,HOSTNAME365,61854,SWITCHNAME365,61814
SV461ESX1869,HOSTNAME366,61854,SWITCHNAME366,61814
SV461ESX1870,HOSTNAME367,61854,SWITCHNAME367,61814
SV461ESX1880,HOSTNAME368,61854,SWITCHNAME368,61814
SV461ESX1870,HOSTNAME369,61855,SWITCHNAME369,61814
SV461ESX1871,HOSTNAME370,61855,SWITCHNAME370,61814
SV461ESX1880,HOSTNAME371,61855,SWITCHNAME371,61814
SV461ESX1899,HOSTNAME372,61854,SWITCHNAME372,61814
SV461ESX2009,HOSTNAME373,61854,SWITCHNAME373,61814
SV461ESX1998,HOSTNAME374,61854,SWITCHNAME374,61814
SV461ESX2008,HOSTNAME375,61855,SWITCHNAME375,61814
SV461ESX1983,HOSTNAME376,61855,SWITCHNAME376,61814
SV461ESXNP13,HOSTNAME377,61855,SWITCHNAME377,61813
SV461ESX1993,HOSTNAME378,61855,SWITCHNAME378,61814
SV461ESX1994,HOSTNAME379,61855,SWITCHNAME379,61814
SV461ESX1909,HOSTNAME380,61855,SWITCHNAME380,61814
SV461ESX1901,HOSTNAME381,61848,SWITCHNAME381,61814
SV461ESX1870,HOSTNAME382,61848,SWITCHNAME382,61814
SV461ESXNP35,HOSTNAME383,61848,SWITCHNAME383,61813
SV461ESXNP45,HOSTNAME384,61848,SWITCHNAME384,61813
SV461ESXNP43,HOSTNAME385,61848,SWITCHNAME385,61813
SV461ESXNP39,HOSTNAME386,61848,SWITCHNAME386,61813
SV461ESXNP36,HOSTNAME387,61848,SWITCHNAME387,61813
SV461ESXNP47,HOSTNAME388,61848,SWITCHNAME388,61813
SV461ESXNP45,HOSTNAME389,61848,SWITCHNAME389,61813
SV461ESXNP45,HOSTNAME390,61848,SWITCHNAME390,61813
SV461ESXNP13,HOSTNAME391,61848,SWITCHNAME391,61813
SV461ESX1910,HOSTNAME392,61848,SWITCHNAME392,61814
SV461ESXNP16,HOSTNAME393,61848,SWITCHNAME393,61813
