"id","label","value","source"
169,"democrants.blogspot.com",0,"CampaignLine"
170,"democraticunderground.com",0,"LabeledManually,CampaignLine"
171,"democratreport.blogspot.com",0,"BlogCatalog"
172,"democrats.org/blog",0,"LabeledManually"
173,"democratvoice.org",0,"Blogarama"
174,"demoliberal.blogspot.com",0,"Blogarama"
175,"dems2000.net",0,"Blogarama"
176,"dems2004.com/blog",0,"CampaignLine"
177,"dems2004.org/blog",0,"CampaignLine"
178,"denisdekat.com",0,"Blogarama"
179,"dewar.journalspace.com",0,"eTalkingHead"
180,"digbysblog.blogspot.com",0,"BlogPulse,LeftyDirectory"
181,"digestiblenews.blogspot.com",0,"Blogarama"
182,"digital-democrat.blogspot.com",0,"Blogarama"
183,"digitaldissent.blogspot.com",0,"eTalkingHead"
184,"digitaljay.blogspot.com",0,"LeftyDirectory,eTalkingHead"
185,"dimmykarras.blogspot.com",0,"eTalkingHead"
186,"dir.salon.com/topics/joe_conason/index.html",0,"LabeledManually"
187,"discourse.net",0,"BlogPulse"
188,"diypolitics.blogdrive.com",0,"Blogarama"
189,"dneiwert.blogspot.com",0,"LeftyDirectory,eTalkingHead"
190,"dogfight04.typepad.com",0,"eTalkingHead"
191,"dohiyimir.typepad.com",0,"LabeledManually"
192,"dolphinsdock.com/blog",0,"Blogarama,LeftyDirectory,BlogCatalog,eTalkingHead"
193,"donkey2004.blogspot.com",0,"Blogarama,LeftyDirectory,BlogCatalog"
194,"donspoliticalblog.blogspot.com",0,"Blogarama"
195,"doublespeakez.blogspot.com",0,"Blogarama"
196,"doubter.blogspot.com",0,"eTalkingHead"
197,"drugwarmovie.com/drugwarmovie/weblog/blogger.html",0,"Blogarama"
198,"duckdaotsu.blogspot.com",0,"Blogarama"
199,"dygital.blogspot.com",0,"BlogCatalog"
200,"dystopia.blog-city.com",0,"Blogarama,LeftyDirectory"
201,"eastbaykerry.com",0,"Blogarama"
202,"elayneriggs.blogspot.com",0,"LeftyDirectory"
203,"elderbearden.blogspot.com",0,"Blogarama"
204,"electablog.com",0,"BlogPulse"
205,"elemming2.blogspot.com",0,"Blogarama,LeftyDirectory"
206,"elfoflight.blogspot.com",0,"BlogCatalog"
207,"elissa.typepad.com",0,"BlogCatalog"
208,"eltcamerica.blogspot.com",0,"Blogarama"
209,"emergingdemocraticmajority.com",0,"LabeledManually"
210,"emergingdemocraticmajorityweblog.com/donkeyrising",0,"LabeledManually"
211,"emptyisform.com",0,"Blogarama"
212,"endthenightmare.blogspot.com",0,"Blogarama,eTalkingHead"
213,"enemykombatant.blogspot.com",0,"BlogCatalog"
214,"enlightenedbelle.blogspot.com",0,"Blogarama"
215,"ergio.blogspot.com",0,"eTalkingHead"
216,"estropundit.blogspot.com",0,"eTalkingHead"
217,"etherealgirl.blogspot.com",0,"Blogarama"
218,"fafblog.blogspot.com",0,"LeftyDirectory"
219,"fairshot.org",0,"Blogarama"
220,"farleft.blogspot.com",0,"eTalkingHead"
221,"fidlet.com",0,"Blogarama"
222,"fiercepoet.com",0,"BlogCatalog"
223,"flagrancy.net",0,"Blogarama,LeftyDirectory"
224,"folkbum.blogspot.com",0,"Blogarama,LeftyDirectory"
225,"forewarned.blogspot.com",0,"eTalkingHead"
226,"freakinliberals.com/blog_a",0,"Blogarama,BlogCatalog"
227,"frederickclarkson.com",0,"Blogarama,eTalkingHead"
228,"freedompress.blogspot.com",0,"Blogarama"
229,"fromtheroots.org",0,"CampaignLine"
230,"fuckthisblog.blogspot.com",0,"Blogarama"
231,"futuraworkz.com",0,"BlogCatalog"
232,"gabeanderson.com/life",0,"Blogarama"
233,"gadflyer.com",0,"LabeledManually"
234,"gaijincory.com",0,"BlogCatalog"
235,"garbage-house.com",0,"Blogarama"
236,"garrulus.ilcannocchiale.it",0,"BlogCatalog"
237,"georgewbuy.blogspot.com",0,"CampaignLine"
238,"gisleson.com/blog",0,"Blogarama,CampaignLine"
239,"global-equality.org/news/blog/index.shtml",0,"Blogarama,eTalkingHead"
240,"gloomanddoom.blogspot.com",0,"Blogarama,BlogCatalog"
241,"goose3five.blogspot.com",0,"Blogarama,LeftyDirectory,BlogCatalog"
242,"gotzfamily.org/weblog",0,"Blogarama"
243,"grassrootsmom.blogspot.com",0,"CampaignLine"
244,"grassrootsnation.com",0,"eTalkingHead"
245,"greaterdemocracy.org",0,"CampaignLine"
246,"greendogdemocrat.blogspot.com",0,"CampaignLine"
247,"greentit.com",0,"Blogarama"
248,"gregpalast.com",0,"LabeledManually"
249,"grupo-utopia.com/blog/isou",0,"LabeledManually"
250,"hal9000report.blogdrive.com",0,"BlogCatalog"
251,"halcyondays.info",0,"eTalkingHead"
252,"hategun.com",0,"BlogCatalog"
253,"hellafaded.blogspot.com",0,"Blogarama"
254,"hellofromparis.blogspot.com",0,"eTalkingHead"
255,"hellskitchennyc.blogspot.com",0,"BlogCatalog"
256,"hereswhatsleft.typepad.com",0,"eTalkingHead"
257,"hereswhatsleft.typepad.com/home",0,"Blogarama,LeftyDirectory"
258,"heysucka.blogspot.com",0,"Blogarama"
259,"higherpieproductions.com",0,"Blogarama,LeftyDirectory,BlogCatalog,LabeledManually"
260,"hoeffelforsenate.com/blog",0,"CampaignLine"
261,"home.att.net/~dbarnhill",0,"Blogarama"
262,"home.att.net/~gentle.reader",0,"LabeledManually"
263,"home.earthlink.net/~cdowner",0,"Blogarama"
264,"home.earthlink.net/~fsrhine",0,"Blogarama,LeftyDirectory,LabeledManually"
265,"home.earthlink.net/~heavy-duty",0,"Blogarama"
266,"home.earthlink.net/~juris_doctor_szh",0,"Blogarama"
267,"home.earthlink.net/~kevin.omeara",0,"Blogarama"
268,"home.houston.rr.com/skeptical",0,"Blogarama"
269,"homepage.mac.com/elisa_camahort/iblog",0,"BlogCatalog"
270,"homepage.mac.com/georgia.nesmith/iblog/index.html",0,"Blogarama"
271,"homepage.mac.com/jpbarr/myblog",0,"Blogarama"
272,"hotflashesfromthecampaigntrail.blogspot.com",0,"CampaignLine"
273,"hotflashreport.com",0,"eTalkingHead"
274,"howienfriends.blogspot.com",0,"Blogarama"
275,"hugozoom.blogspot.com",0,"Blogarama,LeftyDirectory"
276,"ibe.blogspot.com",0,"Blogarama,BlogCatalog"
277,"ibrutus.com",0,"Blogarama,BlogCatalog"
278,"iddybud.blogspot.com",0,"Blogarama,LeftyDirectory,eTalkingHead"
279,"idiosyncratictendencies.com",0,"Blogarama"
280,"idlehandsmag.com/yellowdog04",0,"BlogCatalog"
281,"iflipflop.com",0,"Blogarama"
282,"ignatz.blogspot.com",0,"Blogarama"
283,"ihatepatrobertson.com",0,"Blogarama,BlogCatalog,CampaignLine"
284,"ilovecynics.com",0,"Blogarama"
285,"in-sub-ordination.blogspot.com",0,"Blogarama"
286,"inez2004.com/blogs",0,"CampaignLine"
287,"insanepreschoolmom.blogspot.com",0,"BlogCatalog"
288,"interestingtimes.blogspot.com",0,"LabeledManually"
289,"interestingtimes.typepad.com",0,"Blogarama,eTalkingHead"
290,"ironmouth.com",0,"eTalkingHead"
291,"irregulartimes.com/blogger.html",0,"Blogarama,LeftyDirectory"
292,"islanddave.blogspot.com",0,"Blogarama"
293,"itlookslikethis.blogeasy.com",0,"Blogarama"
294,"itsabitmuch.blogspot.com",0,"Blogarama"
295,"ivotedforgeorge.com",0,"eTalkingHead"
296,"iwantmycountryback.org",0,"eTalkingHead,CampaignLine"
297,"j-bradford-delong.net/movable_type",0,"LeftyDirectory,eTalkingHead"
298,"jadbury.com",0,"BlogCatalog"
299,"jadbury.com/blog",0,"LeftyDirectory,eTalkingHead"
300,"jadedreality.blogspot.com",0,"Blogarama,BlogCatalog"
301,"jameswolcott.com",0,"LeftyDirectory"
302,"jamiefeyrer.com",0,"Blogarama"
303,"janm.blogspot.com",0,"Blogarama"
304,"jason.unitedworkers.org",0,"Blogarama"
305,"jbcougar.blogspot.com",0,"Blogarama"
306,"jcchurch.blogspot.com",0,"Blogarama"
307,"jdeeth.blogspot.com",0,"Blogarama,BlogCatalog"
308,"jeremybrendan.blogspot.com",0,"BlogCatalog"
309,"jetage.blogspot.com",0,"Blogarama"
310,"jewssansfrontieres.blogspot.com",0,"Blogarama"
311,"jimgilliam.com",0,"Blogarama,BlogCatalog"
312,"jimtreacher.com",0,"LeftyDirectory"
313,"jinkythecat.blogspot.com",0,"Blogarama"
314,"jmbzine.com",0,"Blogarama"
315,"joebrent.blogspot.com",0,"Blogarama"
316,"john.hoke.org",0,"BlogCatalog"
317,"johnmccrory.com",0,"Blogarama,LeftyDirectory"
318,"johnnynobody.blogspot.com",0,"Blogarama"
319,"jointhecrowd.blogspot.com",0,"Blogarama"
320,"jospehsmind.blogspot.com",0,"BlogCatalog"
321,"journals.aol.com/breuvers/madashellnotgoingtotakeitanymore",0,"Blogarama"
322,"jpandre.blogspot.com",0,"eTalkingHead"
323,"juancole.com",0,"BlogPulse,eTalkingHead"
324,"juandejesus.50megs.com/juancomments.html",0,"Blogarama"
325,"julietterossant.com/superchefblog/superchefblog.html",0,"eTalkingHead"
326,"juliusblog.blogspot.com",0,"BlogPulse"
327,"justmark.com",0,"Blogarama"
328,"karlhenderson.blogspot.com",0,"Blogarama"
329,"karmicsoup.blogspot.com",0,"BlogCatalog"
330,"katyggls.blogspot.com",0,"BlogCatalog"
331,"kcdems.blogspot.com",0,"CampaignLine"
332,"kensain.com",0,"Blogarama"
333,"kerryforpresident2008.blogspot.com",0,"Blogarama"
334,"kerrytalkingpoints.blogspot.com",0,"Blogarama"
335,"kicktheleftist.blogspot.com",0,"eTalkingHead"
336,"kiersten.connersax.com",0,"BlogCatalog"
337,"kiosan.blogharbor.com",0,"Blogarama,LeftyDirectory"
338,"kippsblog.com",0,"Blogarama"
339,"kristyandotherwise.blogspot.com",0,"Blogarama"
340,"kurtkk.blogspot.com",0,"Blogarama"
341,"kydem.blogspot.com",0,"Blogarama,CampaignLine"
342,"labandadelbuko.ilcannocchiale.it",0,"BlogCatalog"
343,"lagernik.blogspot.com",0,"Blogarama"
344,"lastdaysoftherepublic.fatoprofugus.net",0,"Blogarama"
345,"lawdork.blogspot.com",0,"LeftyDirectory,eTalkingHead"
346,"laylasblog.com",0,"Blogarama"
347,"leanleft.com",0,"LeftyDirectory"
348,"leavethematrix.blogspot.com",0,"BlogCatalog"
349,"left2right.typepad.com",0,"Blogarama"
350,"lefterer.com",0,"Blogarama,LeftyDirectory"
351,"lefti.blogspot.com",0,"LeftyDirectory,LabeledManually"
352,"leftinthereign.blogspot.com",0,"Blogarama"
353,"leftthought.blogspot.com",0,"Blogarama,LeftyDirectory"
354,"lefttimes.com",0,"Blogarama,LeftyDirectory"
355,"leftwingnation.com",0,"Blogarama"
356,"lendmesomesugar.blogs.com/shut_up_already",0,"Blogarama"
357,"lennonreport.blogspot.com",0,"CampaignLine"
358,"leonards-digest.blogspot.com",0,"Blogarama,LeftyDirectory,BlogCatalog"
359,"lettherebepeace.blogspot.com",0,"Blogarama"
360,"liberalangst.org",0,"Blogarama"
361,"liberalavenger.com",0,"Blogarama"
362,"liberaleric.blogspot.com",0,"Blogarama"
363,"liberaloasis.com",0,"LeftyDirectory,LabeledManually,CampaignLine"
364,"liberalreview.blogspot.com",0,"Blogarama"
365,"liberalthunderdome.blogspot.com",0,"BlogCatalog"
366,"liberationlearning.blogspot.com",0,"Blogarama"
367,"lightupthedarkness.org",0,"CampaignLine"
368,"lightupthedarkness.org/blog/default.asp",0,"BlogCatalog"
369,"limecoconut.blogspot.com",0,"Blogarama"
370,"limericksavant.blogspot.com",0,"Blogarama,LeftyDirectory,BlogCatalog,eTalkingHead"
371,"liquidlist.com",0,"Blogarama,LeftyDirectory"
372,"literarybargainville.net",0,"Blogarama"
373,"livejournal.com/users/hoptkov",0,"Blogarama"
374,"livejournal.com/users/jmhm",0,"LeftyDirectory"
375,"livejournal.com/~dailyapple",0,"Blogarama"
376,"livejournal.com/~ladywriter_mts",0,"Blogarama"
377,"loadedmouth.com",0,"Blogarama,eTalkingHead"
378,"lorenjavier.blogspot.com",0,"Blogarama"
379,"loud-liberal.blogspot.com",0,"Blogarama"
380,"loveamericahatebush.com",0,"Blogarama"
381,"lowrentrat.blogdrive.com",0,"Blogarama,eTalkingHead"
382,"ltobs.blogspot.com",0,"Blogarama"
383,"ludis.blogspot.com",0,"Blogarama"
384,"ludovicspeaks.typepad.com",0,"Blogarama,eTalkingHead"
385,"ludovicspeaks.typepad.com/real_deal",0,"Blogarama"
386,"madamepresident2020.blogspot.com",0,"Blogarama"
387,"madkane.com/notable.html",0,"LeftyDirectory,BlogCatalog,eTalkingHead,CampaignLine"
388,"maggiespants.co.uk",0,"eTalkingHead"
389,"mahablog.com",0,"LabeledManually"
390,"marcbrazeau.blogspot.com",0,"Blogarama"
391,"margaretcho.com/blog/blog.htm",0,"LabeledManually"
392,"margieburns.com",0,"BlogCatalog"
393,"markadams.blogdrive.com",0,"Blogarama,LeftyDirectory,eTalkingHead"
394,"markarkleiman.com",0,"eTalkingHead"
395,"markch.blogspot.com",0,"BlogCatalog"
396,"markschmitt.typepad.com/decembrist",0,"LeftyDirectory"
397,"markwarnerforpresident2008.blogspot.com",0,"CampaignLine"
398,"martadonayre.com",0,"Blogarama"
399,"maruthecrankpot.blogspot.com",0,"LeftyDirectory"
400,"massachusetts-liberal.com",0,"Blogarama"
401,"mathewgross.com",0,"BlogPulse"
402,"mathewgross.com/blog",0,"CampaignLine"
403,"matthewyglesias.com",0,"LeftyDirectory"
404,"maultasch.us",0,"Blogarama"
405,"maxspeak.org/mt",0,"Blogarama"
406,"mayflowerhill.blogspot.com",0,"eTalkingHead"
407,"mcwil.blogspot.com",0,"BlogCatalog"
408,"meanspirit.blogspot.com",0,"BlogCatalog"
409,"meateatingleftist.com",0,"Blogarama,BlogCatalog"
410,"mediajunkie.com/edgewise",0,"CampaignLine"
411,"mediaprima.com/nv1962",0,"Blogarama,BlogCatalog"
412,"members.aol.com/ourprez08",0,"CampaignLine"
413,"members.cox.net/aaronjohn",0,"Blogarama"
414,"messengerpuppet.com/blog",0,"BlogCatalog"
415,"metropol47.blogspot.com",0,"Blogarama"
416,"michael124.blogspot.com",0,"Blogarama"
417,"michaelberube.com",0,"LeftyDirectory"
418,"michaelphillips.blogspot.com",0,"BlogCatalog"
419,"mickikrimmel.com/redcarpet",0,"BlogCatalog"
420,"midguard.blogspot.com",0,"Blogarama"
421,"minagahet.blogspot.com",0,"Blogarama"
422,"mirocat.com",0,"Blogarama"
423,"miss-sassafras.com",0,"BlogCatalog"
424,"misschin.bloggage.com",0,"BlogCatalog"
425,"missourikid.blog-city.com",0,"Blogarama"
426,"mixtersmix.blogspot.com",0,"Blogarama"
427,"montages.blogspot.com",0,"Blogarama"
428,"moxiegrrrl.com",0,"BlogCatalog"
429,"mrleft.org",0,"Blogarama,LeftyDirectory,BlogCatalog,eTalkingHead,CampaignLine"
430,"mrstevebeers.blogspot.com",0,"Blogarama"
431,"msnbc.msn.com/id/3449870",0,"LabeledManually"
432,"mstabile.blogspot.com",0,"LeftyDirectory,eTalkingHead"
433,"multitudes.typepad.com",0,"Blogarama"
434,"mydd.com",0,"LeftyDirectory,LabeledManually,eTalkingHead"
435,"myducksoup.com/blog/bloglib/bloglib.shtml",0,"Blogarama"
436,"myleftbrain.com",0,"LeftyDirectory,BlogCatalog,eTalkingHead"
437,"myleftthoughts.blogspot.com",0,"Blogarama"
438,"mysterypollster.com/main",0,"LabeledManually"
439,"nastyboys.blogspot.com",0,"Blogarama,LeftyDirectory"
440,"nathancallahan.com",0,"eTalkingHead"
441,"nathannewman.org/log",0,"LeftyDirectory,LabeledManually"
442,"nationalreview.com/frum/frum-diary.asp",0,"CampaignLine"
443,"ndnblog.org",0,"LabeledManually"
444,"nearouterheaven.blogspot.com",0,"Blogarama,LeftyDirectory"
445,"nebursworld.blogspot.com",0,"Blogarama"
446,"needlenose.com",0,"Blogarama,LeftyDirectory,BlogCatalog"
447,"nephandus.com/blog.php",0,"Blogarama"
448,"nerofiddled.blogspot.com",0,"Blogarama,BlogCatalog"
449,"netpolitik.blogspot.com",0,"Blogarama"
450,"netweed.com/postmodernanarchist",0,"Blogarama"
451,"newappeal.blogspot.com",0,"LabeledManually"
452,"newdemocrat.blogdrive.com",0,"CampaignLine"
453,"newdonkey.com",0,"LabeledManually,CampaignLine"
454,"newleftblogs.blogspot.com",0,"LabeledManually"
455,"news-opinion.blog-city.com",0,"Blogarama"
456,"newstrolls.com",0,"Blogarama"
457,"nftl.blogspot.com",0,"Blogarama"
458,"niagarabuzz.com",0,"Blogarama"
459,"nickgerman.blogspot.com",0,"Blogarama"
460,"nielsenhayden.com/electrolite",0,"LeftyDirectory"
461,"nielsenhayden.com/makinglight",0,"LeftyDirectory"
462,"njfordemocracy.org",0,"BlogCatalog"
463,"njn-blogogram.blogspot.com",0,"Blogarama"
464,"njsoccermom.blogspot.com",0,"Blogarama,BlogCatalog"
465,"node707.com",0,"Blogarama"
466,"nofearoffreedom.blogspot.com",0,"Blogarama,LeftyDirectory"
467,"nomoremister.blogspot.com",0,"LabeledManually"
468,"norbizness.com",0,"LabeledManually"
469,"noseyonline.com",0,"Blogarama,LeftyDirectory,eTalkingHead"
470,"nosmallplans.com/rants",0,"CampaignLine"
471,"notbush.com",0,"CampaignLine"
472,"notgeniuses.com",0,"CampaignLine"
473,"nuntius.blogspot.com",0,"Blogarama"
474,"nycitystoop.com",0,"Blogarama"
475,"obamablog.com",0,"CampaignLine"
476,"obrien4.net/probitus",0,"eTalkingHead"
477,"obsidianwings.blogs.com",0,"BlogPulse"
478,"ocd-gx-liberal.blogspot.com",0,"Blogarama"
479,"oddhours.blogspot.com",0,"Blogarama,eTalkingHead"
480,"offthekuff.com/mt",0,"LeftyDirectory"
481,"oipp.blogspot.com",0,"Blogarama"
482,"oliphantparts.org/blog",0,"BlogCatalog"
483,"oliverwillis.com",0,"LeftyDirectory,eTalkingHead,CampaignLine"
484,"one38.org",0,"eTalkingHead"
485,"onetrueblog.com",0,"Blogarama"
486,"onhappiness.crimsonblog.com",0,"Blogarama"
487,"openeyesmemo.com",0,"Blogarama,BlogCatalog"
488,"orient-lodge.com",0,"BlogCatalog"
489,"ospolitics.org",0,"LabeledManually"
490,"oxblog.blogspot.com",0,"BlogPulse"
491,"pacdaily.com",0,"Blogarama"
492,"pacificviews.org",0,"CampaignLine"
493,"pandagon.net",0,"BlogPulse,LeftyDirectory,eTalkingHead,CampaignLine"
494,"parabasis.typepad.com",0,"LeftyDirectory,eTalkingHead"
