"from","to","weight"
"Dinoflagellates","Sponges",0.003394012
"Dinoflagellates","Bivalves",0.01474605
"Dinoflagellates","Suspension Feeding Polych",0.007958028
"Dinoflagellates","Other Killifish",8.27003e-05
"Dinoflagellates","Rainwater killifish",0.0005140019
"Dinoflagellates","Sailfin Molly",2.090008e-05
"Dinoflagellates","DOC",0.2479829
"Other Phytoplankton","Water Cilitaes",0.0003349763
"Other Phytoplankton","Acartia Tonsa",0.0001569889
"Other Phytoplankton","Oithona nana",0.0007649458
"Other Phytoplankton","Paracalanus",0.0003629743
"Other Phytoplankton","Other Zooplankton",0.0007179492
"Other Phytoplankton","Sponges",3.80973e-05
"Other Phytoplankton","Echinoderma",1.109921e-05
"Other Phytoplankton","Bivalves",0.0001169917
"Other Phytoplankton","Suspension Feeding Polych",6.319553e-05
"Other Phytoplankton","Other Killifish",1.789873e-06
"Other Phytoplankton","Rainwater killifish",1.109921e-05
"Other Phytoplankton","Sailfin Molly",4.509681e-07
"Other Phytoplankton","DOC",0.007894441
"Benthic Phytoplankton","Benthic Flagellates",1.381068
"Benthic Phytoplankton","Benthic Ciliates",0.1599195
"Benthic Phytoplankton","Meiofauna",0.3963813
"Benthic Phytoplankton","Echinoderma",0.006233769
"Benthic Phytoplankton","Detritivorous Gastropods",0.09361342
"Benthic Phytoplankton","Detritivorous Polychaetes",0.2433837
"Benthic Phytoplankton","Predatory Polychaetes",0.01582881
"Benthic Phytoplankton","Macrobenthos",0.2620186
"Benthic Phytoplankton","Benthic Crustaceans",0.03753441
"Benthic Phytoplankton","Detritivorous Amphipods",0.1117772
"Benthic Phytoplankton","Herbivorous Amphipods",0.1842236
"Benthic Phytoplankton","Herbivorous Shrimp",0.2163368
"Benthic Phytoplankton","Pink Shrimp",0.01687383
"Benthic Phytoplankton","Detritivorous Crabs",0.02241853
"Benthic Phytoplankton","Sailfin Molly",0.0003185895
"Benthic Phytoplankton","Other Demersal Fishes",1.359454e-05
"Benthic Phytoplankton","Benthic POC",7.352057
"Thalassia","Herbivorous Amphipods",0.049499
"Thalassia","Isopods",0.304268
"Thalassia","Predatory Shrimp",0.006749
"Thalassia","Pink Shrimp",0.233306
"Thalassia","Omnivorous Crabs",0.147517
"Thalassia","Halfbeaks",0.006391
"Thalassia","Pinfish",0.004261
"Thalassia","Other Demersal Fishes",0.001921
"Thalassia","Herbivorous Ducks",0.001772
"Thalassia","Omnivorous Ducks",0.001688
"Thalassia","Green Turtle",0.000958
"Thalassia","Manatee",0.002008
"Thalassia","Water POC",53.3819
"Thalassia","Benthic POC",71.17586
"Thalassia","DOC",53.3819
"Halodule","Herbivorous Amphipods",0.005625
"Halodule","Isopods",0.034576
"Halodule","Predatory Shrimp",0.000767
"Halodule","Pink Shrimp",0.026512
"Halodule","Omnivorous Crabs",0.016763
"Halodule","Halfbeaks",0.0007260001
"Halodule","Pinfish",0.000484
"Halodule","Other Demersal Fishes",0.000218
"Halodule","Herbivorous Ducks",0.0007730001
"Halodule","Omnivorous Ducks",0.0007370001
"Halodule","Manatee",0.000438
"Halodule","Water POC",6.534715
"Halodule","Benthic POC",8.712953
"Halodule","DOC",6.534715
"Syringodium","Herbivorous Amphipods",0.00405
"Syringodium","Isopods",0.024895
"Syringodium","Predatory Shrimp",0.000552
"Syringodium","Pink Shrimp",0.019089
"Syringodium","Omnivorous Crabs",0.01207
"Syringodium","Halfbeaks",0.000523
"Syringodium","Pinfish",0.000349
"Syringodium","Other Demersal Fishes",0.000157
"Syringodium","Herbivorous Ducks",0.00043
"Syringodium","Omnivorous Ducks",0.000409
"Syringodium","Manatee",0.000487
"Syringodium","Water POC",2.381097
"Syringodium","Benthic POC",3.174796
"Syringodium","DOC",2.381097
"Roots","Benthic POC",72
"Drift Algae","Sailfin Molly",0.000424
"Drift Algae","Pinfish",0.016419
"Drift Algae","Parrotfish",0.000289
"Drift Algae","Mullet",0.005187
"Drift Algae","Other Demersal Fishes",0.000181
"Drift Algae","Water POC",21.95325
"Drift Algae","Benthic POC",29.271
"Drift Algae","DOC",21.95325
"Epiphytes","Echinoderma",0.6006482
"Epiphytes","Epiphytic Gastropods",0.04620526
"Epiphytes","Herbivorous Amphipods",0.1775115
"Epiphytes","Isopods",0.3637164
"Epiphytes","Herbivorous Shrimp",1.87609
"Epiphytes","Predatory Shrimp",0.04840712
"Epiphytes","Pink Shrimp",0.1202118
"Epiphytes","Thor Floridanus",0.06717901
"Epiphytes","Omnivorous Crabs",0.02204269
"Epiphytes","Halfbeaks",0.007308566
"Epiphytes","Sailfin Molly",0.002048878
"Epiphytes","Porgy",5.819654e-05
"Epiphytes","Pinfish",0.002904827
"Epiphytes","Parrotfish",0.001046938
"Epiphytes","Mullet",0.007516554
"Epiphytes","Other Demersal Fishes",0.001309922
"Epiphytes","Herbivorous Ducks",0.002469853
"Epiphytes","Omnivorous Ducks",0.00235286
"Epiphytes","Green Turtle",0.0006679603
"Epiphytes","Manatee",0.001398917
"Epiphytes","Water POC",33.79467
"Epiphytes","Benthic POC",45.05956
"Epiphytes","DOC",33.79467
"Free Bacteria","Water Flagellates",12.90289
"Free Bacteria","Water Cilitaes",1.349704
"Free Bacteria","Acartia Tonsa",0.238394
"Free Bacteria","Oithona nana",1.162194
"Free Bacteria","Paracalanus",0.5519566
"Free Bacteria","Other Copepoda",1.817246
"Free Bacteria","Other Zooplankton",1.090109
"Free Bacteria","Sponges",0.03004161
"Free Bacteria","Bivalves",0.2252212
"Free Bacteria","Water POC",25.11544
"Water Flagellates","Water Cilitaes",4.588644
"Water Flagellates","Acartia Tonsa",0.4007046
"Water Flagellates","Oithona nana",1.95347
"Water Flagellates","Paracalanus",0.9277542
"Water Flagellates","Other Copepoda",3.295022
"Water Flagellates","Other Zooplankton",1.832305
"Water Flagellates","Sponges",0.03281777
"Water Flagellates","Bivalves",0.0828484
"Water Flagellates","Suspension Feeding Polych",0.1163758
"Water Flagellates","Water POC",48.92028
"Water Cilitaes","Acartia Tonsa",0.03377511
"Water Cilitaes","Oithona nana",0.1646585
"Water Cilitaes","Paracalanus",0.07820085
"Water Cilitaes","Other Zooplankton",0.1544445
"Water Cilitaes","Sponges",0.001976271
"Water Cilitaes","Bivalves",0.004988492
"Water Cilitaes","Suspension Feeding Polych",0.007006201
"Water Cilitaes","Water POC",5.458323
"Acartia Tonsa","Meroplankton",0.07303697
"Acartia Tonsa","Coral",0.001980442
"Acartia Tonsa","Other Cnidaridae",0.00191728
"Acartia Tonsa","Echinoderma",0.0002872864
"Acartia Tonsa","Pink Shrimp",0.01155462
"Acartia Tonsa","Sardines",0.0004482483
"Acartia Tonsa","Anchovy",1.395682e-05
"Acartia Tonsa","Bay Anchovy",0.01094235
"Acartia Tonsa","Halfbeaks",0.000136512
"Acartia Tonsa","Needlefish",0.0002108804
"Acartia Tonsa","Other Killifish",5.328042e-05
"Acartia Tonsa","Goldspotted killifish",0.001178689
"Acartia Tonsa","Rainwater killifish",0.0004971481
"Acartia Tonsa","Silverside",0.000954565
"Acartia Tonsa","Other Horsefish",0.0002343116
"Acartia Tonsa","Gulf Pipefish",0.0004757544
"Acartia Tonsa","Dwarf Seahorse",0.001289733
"Acartia Tonsa","Jacks",1.650369e-05
"Acartia Tonsa","Pompano",1.436432e-05
"Acartia Tonsa","Mojarra",0.0001263245
"Acartia Tonsa","Grunt",0.001115527
"Acartia Tonsa","Scianids",0.0002933989
"Acartia Tonsa","Spotted Seatrout",0.0001232683
"Acartia Tonsa","Code Goby",0.0005103917
"Acartia Tonsa","Clown Goby",5.21598e-05
"Acartia Tonsa","Flatfish",7.070097e-05
"Acartia Tonsa","Other Pelagic Fishes",6.081914e-06
"Acartia Tonsa","Water POC",0.9484801
"Oithona nana","Meroplankton",0.3447542
"Oithona nana","Coral",0.00726408
"Oithona nana","Other Cnidaridae",0.009040803
"Oithona nana","Echinoderma",0.001353839
"Oithona nana","Pink Shrimp",0.05448313
"Oithona nana","Sardines",0.002117465
"Oithona nana","Anchovy",6.571441e-05
"Oithona nana","Bay Anchovy",0.05163044
"Oithona nana","Halfbeaks",1.125664e-05
"Oithona nana","Needlefish",0.000965434
"Oithona nana","Other Killifish",0.0002514996
"Oithona nana","Goldspotted killifish",0.005562401
"Oithona nana","Rainwater killifish",0.002343611
"Oithona nana","Silverside",0.004502655
"Oithona nana","Other Horsefish",0.001104367
"Oithona nana","Gulf Pipefish",0.001532322
"Oithona nana","Dwarf Seahorse",0.0003792776
"Oithona nana","Jacks",5.293662e-05
"Oithona nana","Pompano",6.774264e-05
"Oithona nana","Mojarra",0.0005942693
"Oithona nana","Grunt",0.005260196
"Oithona nana","Scianids",0.001384262
"Oithona nana","Spotted Seatrout",0.0005800717
"Oithona nana","Code Goby",0.0024075
"Oithona nana","Clown Goby",0.0002464291
"Oithona nana","Flatfish",0.0003336426
"Oithona nana","Other Pelagic Fishes",1.957235e-05
"Oithona nana","Water POC",4.66609
"Paracalanus","Meroplankton",0.0061082
"Paracalanus","Coral",0.0001645375
"Paracalanus","Other Cnidaridae",0.0001594592
"Paracalanus","Echinoderma",2.386809e-05
"Paracalanus","Pink Shrimp",0.0009598019
"Paracalanus","Sardines",3.727485e-05
"Paracalanus","Anchovy",1.157856e-06
"Paracalanus","Bay Anchovy",0.0009100345
"Paracalanus","Halfbeaks",0.0004712678
"Paracalanus","Needlefish",0.0004621269
"Paracalanus","Other Killifish",4.428292e-06
"Paracalanus","Goldspotted killifish",9.801153e-05
"Paracalanus","Rainwater killifish",4.13375e-05
"Paracalanus","Silverside",7.932331e-05
"Paracalanus","Other Horsefish",1.950074e-05
"Paracalanus","Gulf Pipefish",2.701665e-05
"Paracalanus","Dwarf Seahorse",6.683065e-06
"Paracalanus","Jacks",9.333947e-07
"Paracalanus","Pompano",1.188326e-06
"Paracalanus","Mojarra",1.046133e-05
"Paracalanus","Grunt",9.273007e-05
"Paracalanus","Scianids",2.437592e-05
"Paracalanus","Spotted Seatrout",1.02582e-05
"Paracalanus","Code Goby",4.245473e-05
"Paracalanus","Clown Goby",4.336883e-06
"Paracalanus","Flatfish",5.880691e-06
"Paracalanus","Other Pelagic Fishes",3.453256e-07
"Paracalanus","Water POC",2.449087
"Other Copepoda","Meroplankton",0.2683339
"Other Copepoda","Coral",0.006469587
"Other Copepoda","Other Cnidaridae",0.0001162975
"Other Copepoda","Echinoderma",0.001055292
"Other Copepoda","Pink Shrimp",0.04245828
"Other Copepoda","Sardines",0.001649702
"Other Copepoda","Anchovy",5.125705e-05
"Other Copepoda","Bay Anchovy",0.04023571
"Other Copepoda","Halfbeaks",0.0004458071
"Other Copepoda","Needlefish",0.0008916142
"Other Copepoda","Other Killifish",0.0001959828
"Other Copepoda","Goldspotted killifish",0.004335312
"Other Copepoda","Rainwater killifish",0.001826302
"Other Copepoda","Silverside",0.004048876
"Other Copepoda","Other Horsefish",0.0004307315
"Other Copepoda","Gulf Pipefish",0.001194203
"Other Copepoda","Dwarf Seahorse",0.0001475255
"Other Copepoda","Jacks",4.124254e-05
"Other Copepoda","Pompano",5.27646e-05
"Other Copepoda","Mojarra",0.0004630364
"Other Copepoda","Grunt",0.002141812
"Other Copepoda","Scianids",0.001077906
"Other Copepoda","Spotted Seatrout",0.0004511912
"Other Copepoda","Code Goby",0.001876912
"Other Copepoda","Clown Goby",0.0001916755
"Other Copepoda","Flatfish",0.0002605926
"Other Copepoda","Other Pelagic Fishes",1.529097e-05
"Other Copepoda","Water POC",8.003636
"Meroplankton","Other Cnidaridae",0.005769383
"Meroplankton","Sardines",6.669807e-05
"Meroplankton","Anchovy",5.002355e-05
"Meroplankton","Bay Anchovy",0.02095257
"Meroplankton","Halfbeaks",6.482218e-06
"Meroplankton","Needlefish",1.594501e-05
"Meroplankton","Other Killifish",3.136894e-06
"Meroplankton","Goldspotted killifish",0.01477675
"Meroplankton","Rainwater killifish",1.948834e-05
"Meroplankton","Snook",1.615344e-05
"Meroplankton","Silverside",0.001567405
"Meroplankton","Flatfish",1.250589e-05
"Meroplankton","Other Pelagic Fishes",3.397433e-08
"Meroplankton","Water POC",0.3916948
"Other Zooplankton","Meroplankton",0.2388208
"Other Zooplankton","Coral",0.002148907
"Other Zooplankton","Other Cnidaridae",0.004321358
"Other Zooplankton","Echinoderma",0.0008411558
"Other Zooplankton","Suspension Feeding Polych",0.009239872
"Other Zooplankton","Pink Shrimp",0.0003381746
"Other Zooplankton","Sardines",0.001195383
"Other Zooplankton","Anchovy",4.08806e-05
"Other Zooplankton","Bay Anchovy",0.0320795
"Other Zooplankton","Halfbeaks",0.0003981043
"Other Zooplankton","Needlefish",0.0007576823
"Other Zooplankton","Other Killifish",0.0001562452
"Other Zooplankton","Goldspotted killifish",0.003456658
"Other Zooplankton","Rainwater killifish",0.0006474545
"Other Zooplankton","Silverside",0.002152117
"Other Zooplankton","Other Horsefish",0.0003435255
"Other Zooplankton","Gulf Pipefish",0.001068032
"Other Zooplankton","Dwarf Seahorse",0.000117719
"Other Zooplankton","Flatfish",0.0002076135
"Other Zooplankton","Water POC",4.625324
"Benthic Flagellates","Benthic Ciliates",4.149095
"Benthic Flagellates","Meiofauna",10.66494
"Benthic Flagellates","Detritivorous Gastropods",0.003924961
"Benthic Flagellates","Detritivorous Polychaetes",0.001181676
"Benthic Flagellates","Predatory Polychaetes",0.01426687
"Benthic Flagellates","Suspension Feeding Polych",0.008346525
"Benthic Flagellates","Macrobenthos",0.03778473
"Benthic Flagellates","Benthic Crustaceans",0.08251093
"Benthic Flagellates","Detritivorous Amphipods",0.2320643
"Benthic Flagellates","Mullet",0.002304518
"Benthic Flagellates","Benthic POC",34.34194
"Benthic Ciliates","Meiofauna",1.122645
"Benthic Ciliates","Detritivorous Gastropods",0.0002547266
"Benthic Ciliates","Detritivorous Polychaetes",0.392813
"Benthic Ciliates","Predatory Polychaetes",0.0009277929
"Benthic Ciliates","Suspension Feeding Polych",0.0006172223
"Benthic Ciliates","Macrobenthos",0.002456153
"Benthic Ciliates","Benthic Crustaceans",0.005363955
"Benthic Ciliates","Detritivorous Amphipods",0.01597332
"Benthic Ciliates","Mullet",0.0001498968
"Benthic Ciliates","Benthic POC",4.050062
"Meiofauna","Echinoderma",0.0264936
"Meiofauna","Detritivorous Gastropods",0.004339416
"Meiofauna","Predatory Polychaetes",0.63099
"Meiofauna","Macrobenthos",0.3446744
"Meiofauna","Predatory Shrimp",0.01668855
"Meiofauna","Pink Shrimp",0.3078131
"Meiofauna","Lobster",0.04410568
"Meiofauna","Detritivorous Crabs",0.001787062
"Meiofauna","Anchovy",1.478876e-05
"Meiofauna","Grunt",0.005415997
"Meiofauna","Scianids",0.003889548
"Meiofauna","Parrotfish",0.00108382
"Meiofauna","Mullet",0.007781165
"Meiofauna","Flatfish",0.002669217
"Meiofauna","Other Demersal Fishes",0.007218571
"Meiofauna","Benthic POC",27.52173
"Sponges","Echinoderma",0.1542531
"Sponges","Sardines",0.002052329
"Sponges","Mojarra",0.001683416
"Sponges","Porgy",9.344431e-06
"Sponges","Pinfish",0.006519819
"Sponges","Parrotfish",0.0004712755
"Sponges","Filefishes",0.005229638
"Sponges","Other Demersal Fishes",0.0005939085
"Sponges","Loggerhead Turtle",0.0001084441
"Sponges","Hawksbill Turtle",8.097832e-06
"Sponges","Manatee",7.722838e-05
"Sponges","Water POC",0.07693244
"Coral","Spadefish",0.0003734425
"Coral","Parrotfish",1.405654e-05
"Coral","Filefishes",0.0001563004
"Coral","Benthic POC",0.007970271
"Other Cnidaridae","Echinoderma",0.050074
"Other Cnidaridae","Mojarra",4.391454e-05
"Other Cnidaridae","Pinfish",0.00401979
"Other Cnidaridae","Spadefish",0.004077928
"Other Cnidaridae","Filefishes",0.001708826
"Other Cnidaridae","Loggerhead Turtle",5.273898e-05
"Other Cnidaridae","Hawksbill Turtle",6.000617e-08
"Other Cnidaridae","Benthic POC",0.01329375
"Echinoderma","Predatory Polychaetes",0.05003602
"Echinoderma","Lobster",0.005877969
"Echinoderma","Catfish",0.003814868
"Echinoderma","Parrotfish",0.0001293861
"Echinoderma","Filefishes",0.01799781
"Echinoderma","Puffer",0.00241487
"Echinoderma","Other Demersal Fishes",0.002379491
"Echinoderma","Greeb",8.460637e-06
"Echinoderma","Loggerhead Turtle",0.0001283753
"Echinoderma","Hawksbill Turtle",1.455593e-07
"Echinoderma","Manatee",0.0001455593
"Echinoderma","Benthic POC",0.2448328
"Bivalves","Echinoderma",0.06405088
"Bivalves","Predatory Gastropods",0.0125534
"Bivalves","Predatory Polychaetes",0.0379689
"Bivalves","Predatory Shrimp",0.063504
"Bivalves","Omnivorous Crabs",0.02478584
"Bivalves","Predatory Crabs",0.00124706
"Bivalves","Callinectus sapidus",0.007697021
"Bivalves","Stone Crab",0.0003332309
"Bivalves","Sharks",0.0002422568
"Bivalves","Rays",0.03032401
"Bivalves","Bonefish",0.0008923638
"Bivalves","Sardines",0.002281507
"Bivalves","Anchovy",2.524787e-05
"Bivalves","Catfish",0.0003056321
"Bivalves","Other Killifish",0.001328835
"Bivalves","Goldspotted killifish",0.008909328
"Bivalves","Rainwater killifish",0.008260244
"Bivalves","Pompano",0.0007165487
"Bivalves","Mojarra",0.002504343
"Bivalves","Grunt",0.003877132
"Bivalves","Porgy",0.0002678114
"Bivalves","Pinfish",0.0003863843
"Bivalves","Scianids",0.0016406
"Bivalves","Red Drum",4.119389e-05
"Bivalves","Parrotfish",4.569148e-05
"Bivalves","Filefishes",0.0001134621
